software,cert,resp,subtype,type,id,version1,version2,publisher1,publisher2,url,article,article_set,mention_status
Roman,1.0,#annotator2,used,software,eb11145f58-software-1,1.70,NA,Robert Jones and Agnes Hunt Orthopaedic Hospital,NA,http://www.cookedbits.co.uk/roma n/,eb11145f58,PMC,sw-pub-url
NVivo,1.0,#annotator12,used,software,eda5bdd1ed-software-0,10,NA,QSR International Pty Ltd,NA,NA,eda5bdd1ed,PMC,sw-ver-pub
SPSS,NA,#curator,NA,software,b21fd4cdd2-software-0,20,NA,IBM,NA,NA,b21fd4cdd2,PMC,sw-ver-pub
PASW Statistics,0.8,#annotator5,used,software,c1522259a0-software-6,18.0.0,NA,SPSS,NA,NA,c1522259a0,PMC,sw-ver-pub
Proteome Discoverer,0.7,#annotator17,used,software,c5932db765-software-6,1.3,NA,Thermo Fisher Scientific,NA,NA,c5932db765,PMC,sw-ver-pub
SAS,1.0,#annotator9,used,software,fc493cc8b9-software-0,9.1.3,NA,"SAS Institute, Inc",NA,NA,fc493cc8b9,PMC,sw-ver-pub
SPSS,1.0,#annotator8,used,software,e476be30cd-software-0,16.0,NA,SPSS Inc,NA,NA,e476be30cd,PMC,sw-ver-pub
Statistician,1.0,#annotator5,used,software,f63e25be05-software-4,2.0,NA,xlQA,NA,NA,f63e25be05,PMC,sw-ver-pub
SPSS Statistics,1.0,#annotator1,used,software,ae598af946-software-0,23.0,NA,SPSS,NA,NA,ae598af946,PMC,sw-ver-pub
Amira,1.0,#annotator4,used,software,d15658112a-software-1,5.5,NA,FEI Co,NA,NA,d15658112a,PMC,sw-ver-pub
SPSS,1.0,#annotator3,used,software,b13e48b370-software-0,12.00,NA,SPSS Inc,NA,NA,b13e48b370,PMC,sw-ver-pub
JMP,1.0,#annotator4,used,software,f9b171fb54-software-0,8.0,NA,SAS Institute Inc,NA,NA,f9b171fb54,PMC,sw-ver-pub
SPSS Statistics,NA,#curator,NA,software,ad0798f4c5-software-4,20.0,NA,IBM Corp,NA,NA,ad0798f4c5,PMC,sw-ver-pub
MedCalc,1.0,#annotator5,used,software,d20a511e43-software-0,12.7.7,2013,MedCalc Software bvba,NA,http://www.medcalc.org,d20a511e43,PMC,sw-ver-url
SPSS,1.0,#annotator6,used,software,d2211e3b11-software-4,21,NA,IBM,NA,NA,d2211e3b11,PMC,sw-ver-pub
STATA/SE,1.0,#annotator3,used,software,ff58f4715c-software-1,11.0,NA,Stata Corp,NA,http://www.stata.com,ff58f4715c,PMC,sw-ver-url
SPSS,1.0,#annotator10,used,software,b73e7386ef-software-1,13.0,NA,SPSS Inc,NA,NA,b73e7386ef,PMC,sw-ver-pub
SPSS,0.9,#annotator2,used,software,cbf62714d6-software-0,23.0,NA,SPSS,NA,NA,cbf62714d6,PMC,sw-ver-pub
PRISM,1.0,#annotator7,used,software,d5aab6a499-software-0,5.01,NA,"GraphPad Software, Inc",NA,NA,d5aab6a499,PMC,sw-ver-pub
Excel,NA,#curator,NA,software,c37baf4c08-software-1,2013,NA,Microsoft,NA,NA,c37baf4c08,PMC,sw-ver-pub
Argus,1.0,#annotator0,used,software,d21118565a-software-0,5.0,NA,Hamamatsu,NA,NA,d21118565a,PMC,sw-ver-pub
Statistical Analysis Software (SAS),1.0,#annotator5,used,software,febbd556d1-software-0,9.3,NA,SAS Institute Inc,NA,NA,febbd556d1,PMC,sw-ver-pub
ChemAxon Standardizer,1.0,#annotator26,used,software,e0ab19a106-software-0,5.3,NA,ChemAxon,NA,http://www.chemaxon.com,e0ab19a106,PMC,sw-pub-url
javaNNS,0.8,#annotator2,used,software,a3d714f4f8-software-64,1.1,NA,University of Stuttgart,NA,http://www-ra.informatik.uni-tuebingen. de/downloads/JavaNNS,a3d714f4f8,PMC,sw-ver-url
STATA/SE,1.0,#annotator3,used,software,ff58f4715c-software-1,11.0,NA,Stata Corp,NA,http://www.stata.com,ff58f4715c,PMC,all
SAS,1.0,#annotator12,used,software,d71a4c5465-software-0,9.3,NA,SAS Institute Inc,NA,NA,d71a4c5465,PMC,sw-ver-pub
NIS-Elements BR,1.0,#annotator3,used,software,e5f4c9f2d6-software-1,3.2,NA,Nikon,NA,NA,e5f4c9f2d6,PMC,sw-ver-pub
Prism,1.0,#annotator0,used,software,ce499cc1f2-software-1,4,NA,GraphPadPrism,NA,NA,ce499cc1f2,PMC,sw-ver-pub
SPSS,0.9,#annotator5,used,software,f0d5972d80-software-0,12.0,NA,SPSS Inc,NA,NA,f0d5972d80,PMC,sw-ver-pub
SPSS,1.0,#annotator7,used,software,e741bd1f4b-software-1,11.5,NA,SPSS Inc,NA,NA,e741bd1f4b,PMC,sw-ver-pub
SAS,1.0,#annotator12,used,software,ecbd274d54-software-0,9.2,NA,SAS Institute Inc,NA,NA,ecbd274d54,PMC,sw-ver-pub
SAS Enter- prise Guide,NA,#curator,NA,software,a8290e603a-software-1,4.1.0.471,NA,SAS Institute,NA,NA,a8290e603a,PMC,sw-ver-pub
SPSS,1.0,#annotator28,used,software,ac88aac71e-software-4,16.0,NA,SPSS,NA,NA,ac88aac71e,PMC,sw-ver-pub
SAS,1.0,#annotator12,used,software,bd49b0723e-software-2,8.2,NA,SAS Institute,NA,NA,bd49b0723e,PMC,sw-ver-pub
Excel,NA,#curator,NA,software,c37baf4c08-software-3,2013,NA,Microsoft,NA,NA,c37baf4c08,PMC,sw-ver-pub
SPSS Statistics,NA,#curator,NA,software,d1683082a7-software-0,22.0,NA,IBM Corp,NA,NA,d1683082a7,PMC,sw-ver-pub
G*Power,1.0,#annotator14,used,software,f596b82655-software-1,3.1.3,NA,Franz Faul,NA,NA,f596b82655,PMC,sw-ver-pub
Rhinoceros,1.0,#annotator10,used,software,c0ded04a6d-software-2,4.0,NA,McNeel North America,NA,NA,c0ded04a6d,PMC,sw-ver-pub
PostgreSQL,0.7,#annotator2,used,software,cf8b3f85a1-software-1,9.1.4,NA,PostgreSQL Global Development Group,NA,http:// postgresql.org,cf8b3f85a1,PMC,sw-pub-url
SPSS,1.0,#annotator0,used,software,f204e3a468-software-0,11.0,NA,SPSS Inc,NA,NA,f204e3a468,PMC,sw-ver-pub
