software,cert,resp,subtype,type,id,version1,version2,publisher1,publisher2,url,article,article_set,mention_status
PRISM,1.0,#annotator7,used,software,d5aab6a499-software-0,5.01,NA,"GraphPad Software, Inc",NA,NA,d5aab6a499,PMC,sw-ver-pub
GraphPad Prism,1.0,#annotator10,used,software,a3970a91b9-software-3,6,NA,GraphPad Software,NA,NA,a3970a91b9,PMC,sw-ver-pub
SPSS,1.0,#annotator19,used,software,bcbe0a498d-software-2,20.0,NA,SPSS,NA,NA,bcbe0a498d,PMC,sw-ver-pub
Fluoview,1.0,#annotator7,used,software,fcda52b147-software-0,3.1,NA,Olympus,NA,NA,fcda52b147,PMC,sw-ver-pub
SPSS,0.8,#annotator2,used,software,fa73e68399-software-0,15.0,NA,SPSS,NA,NA,fa73e68399,PMC,sw-ver-pub
JMP,0.9,#annotator3,used,software,fb558fd0d6-software-0,5.1,NA,SAS Institute,NA,NA,fb558fd0d6,PMC,sw-ver-pub
Feature Extraction,1.0,#annotator12,used,software,e7d6abd0de-software-0,7.5-9.5.1,NA,Agilent,NA,NA,e7d6abd0de,PMC,sw-ver-pub
moorVMS,1.0,#annotator12,used,software,c322bfae0c-software-0,3.1,NA,Moor Instruments,NA,NA,c322bfae0c,PMC,sw-ver-pub
OMtools,1.0,#curator,used,software,f657f20540-software-1,NA,NA,OMLAB,NA,http://www.om lab.org,f657f20540,PMC,sw-pub-url
SPSS,1.0,#annotator13,used,software,cd5cdb01ff-software-0,12.0,NA,SPSS Inc,NA,NA,cd5cdb01ff,PMC,sw-ver-pub
SPSS Statistics,NA,#curator,NA,software,d1683082a7-software-0,22.0,NA,IBM Corp,NA,NA,d1683082a7,PMC,sw-ver-pub
SPSS,1.0,#annotator4,used,software,fa37f6a74d-software-1,13,NA,SPSS Inc,NA,NA,fa37f6a74d,PMC,sw-ver-pub
DGPI,0.8,#annotator2,NA,software,a3d714f4f8-software-12,NA,NA,University of Geneva,NA,http://129.194.185.165/ dgpi,a3d714f4f8,PMC,sw-pub-url
SAS,1.0,#annotator2,used,software,f8bf21d07b-software-2,9.3,NA,"SAS Institute, Inc",NA,NA,f8bf21d07b,PMC,sw-ver-pub
Statview,1.0,#annotator17,used,software,c837a5089a-software-0,5.0,NA,SAS Institute Inc,NA,NA,c837a5089a,PMC,sw-ver-pub
SPSS,1.0,#annotator12,used,software,e4258645ad-software-0,13.0,NA,SPSS,NA,NA,e4258645ad,PMC,sw-ver-pub
SPSS,1.0,#annotator5,used,software,a61fe68857-software-0,15.0,NA,SPSS Inc,NA,NA,a61fe68857,PMC,sw-ver-pub
Stata,1.0,#annotator4,used,software,c150c1ef47-software-1,12,NA,StataCorp,NA,NA,c150c1ef47,PMC,sw-ver-pub
Office,NA,#curator,NA,software,f0c87a30b9-software-0,2010,NA,Microsoft,NA,NA,f0c87a30b9,PMC,sw-ver-pub
TMHMM,0.7,#annotator2,used,software,b5b7835187-software-3,2.0,NA,NA,NA,http://www .cbs.dtu.dk/services,b5b7835187,PMC,sw-ver-url
MALDI BioTyper,1.0,#annotator3,used,software,d4dd357178-software-1,2.0,NA,Bruker,NA,NA,d4dd357178,PMC,sw-ver-pub
Latent Gold,1.0,#annotator16,used,software,caad9cb052-software-1,4.5,NA,Statistical Innovations Inc,NA,NA,caad9cb052,PMC,sw-ver-pub
Prism,1.0,#annotator5,used,software,b6073b951f-software-2,5.0,NA,GraphPad Software,NA,NA,b6073b951f,PMC,sw-ver-pub
AxioVision,1.0,#annotator2,used,software,d101c96c62-software-3,4.4,NA,Zeiss,NA,NA,d101c96c62,PMC,sw-ver-pub
SAS,1.0,#annotator5,used,software,ba504ebbc7-software-1,9.2,NA,SAS Institute,NA,NA,ba504ebbc7,PMC,sw-ver-pub
Nanoscope,1.0,#curator,used,software,fac4e9a715-software-0,6.13R1,NA,Digital Instruments,NA,NA,fac4e9a715,PMC,sw-ver-pub
Gene- Spring,NA,#curator,NA,software,ce5770855b-software-0,7.3.1,NA,Agilent,NA,NA,ce5770855b,PMC,sw-ver-pub
SPSS,1.0,#annotator0,used,software,f204e3a468-software-0,11.0,NA,SPSS Inc,NA,NA,f204e3a468,PMC,sw-ver-pub
Prexion3DViewer,1.0,#annotator7,used,software,ad0798f4c5-software-0,2.4.1.20,NA,PreXion Inc,NA,NA,ad0798f4c5,PMC,sw-ver-pub
SQL Server,NA,#curator,NA,software,fc15f4c477-software-2,2005,NA,Microsoft Corp,NA,NA,fc15f4c477,PMC,sw-ver-pub
Image-Pro Plus,1.0,#annotator4,used,software,f9128c0723-software-1,6.0,NA,Media Cybernetics,NA,NA,f9128c0723,PMC,sw-ver-pub
SPSS,0.9,#annotator2,used,software,e246f6e671-software-0,11.5,NA,SPSS Inc,NA,NA,e246f6e671,PMC,sw-ver-pub
PostgreSQL,0.7,#annotator2,used,software,cf8b3f85a1-software-1,9.1.4,NA,PostgreSQL Global Development Group,NA,http:// postgresql.org,cf8b3f85a1,PMC,sw-pub-url
Chaste,1.0,#annotator10,used,software,c1700c6afb-software-4,3.1,NA,NA,NA,http://www.cs.ox.ac.uk/chaste/download,c1700c6afb,PMC,sw-ver-url
Primer Premier,0.9,#annotator18,used,software,a3bede9147-software-2,5.0,NA,Premier Biosoft International,NA,NA,a3bede9147,PMC,sw-ver-pub
PASS,1.0,#annotator8,used,software,bfb00a80ac-software-1,8.0.05,NA,NCSS,NA,NA,bfb00a80ac,PMC,sw-ver-pub
Excel,NA,#curator,NA,software,ae6c66dcd8-software-0,2000 and 2007,NA,Microsoft,NA,NA,ae6c66dcd8,PMC,sw-ver-pub
Statistica,1.0,#annotator10,used,software,fc711e5494-software-0,8.0,NA,StatSoft,NA,NA,fc711e5494,PMC,sw-ver-pub
SPSS,1.0,#annotator7,used,software,ad475cb6c0-software-1,20,NA,IBM,NA,NA,ad475cb6c0,PMC,sw-ver-pub
GraphPad Prism,1.0,#annotator14,used,software,ea9f32657e-software-1,4,NA,GraphPad Software,NA,NA,ea9f32657e,PMC,sw-ver-pub
DataView,1.0,#annotator1,used,software,a7386a8dc5-software-0,3,NA,AEMC Instru- ments,NA,NA,a7386a8dc5,PMC,sw-ver-pub
pClamp,1.0,#annotator5,used,software,de6e366041-software-1,8.0,NA,Axon Instruments,NA,NA,de6e366041,PMC,sw-ver-pub
BIAevaluation,1.0,#annotator2,used,software,d75b50eb22-software-43,3.1,NA,GE Healthcare,NA,NA,d75b50eb22,PMC,sw-ver-pub
AxioVision,1.0,#annotator0,used,software,de9d1c312b-software-0,4.8.2,NA,Zeiss,NA,NA,de9d1c312b,PMC,sw-ver-pub
Aida,1.0,#annotator5,used,software,becd1c9f79-software-1,2.1,NA,Raytest,NA,NA,becd1c9f79,PMC,sw-ver-pub
SPSS,1.0,#annotator3,used,software,a8299ed595-software-1,14.0,NA,SPSS Inc,NA,NA,a8299ed595,PMC,sw-ver-pub
PDQuest,1.0,#annotator12,used,software,f3b95016d0-software-1,8.0,NA,"Bio-Rad Laboratories, Inc",NA,NA,f3b95016d0,PMC,sw-ver-pub
SPSS,1.0,#annotator7,used,software,ecf9540d9c-software-1,12.0,NA,SPSS Inc,NA,NA,ecf9540d9c,PMC,sw-ver-pub
SPSS,1.0,#annotator15,used,software,ea603d6b0f-software-0,16.0,NA,SPSS Inc,NA,NA,ea603d6b0f,PMC,sw-ver-pub
SAS,0.8,#annotator2,used,software,fdd3df4920-software-2,9.3,NA,"SAS, Inc",NA,NA,fdd3df4920,PMC,sw-ver-pub
MedCalc,1.0,#annotator5,used,software,d20a511e43-software-0,12.7.7,2013,MedCalc Software bvba,NA,http://www.medcalc.org,d20a511e43,PMC,sw-ver-url
Stata,1.0,#annotator12,used,software,e2101746eb-software-0,12.1,NA,"Stata, Inc",NA,NA,e2101746eb,PMC,sw-ver-pub
SPSS,NA,#curator,NA,software,a93bdc2ade-software-2,17.0,NA,IBM,NA,NA,a93bdc2ade,PMC,sw-ver-pub
ImageJ,1.0,#annotator26,used,software,eafdbfbc00-software-0,NA,NA,National Institutes of Health,NA,http://imagej.nih.gov/ij,eafdbfbc00,PMC,sw-pub-url
MetaMorph,1.0,#annotator4,used,software,bc0c73e338-software-0,4.6,NA,Universal Imaging,NA,NA,bc0c73e338,PMC,sw-ver-pub
qBasePLUS,0.9,#annotator20,used,software,bda4349cee-software-1,1.5,NA,Biogazelle,NA,NA,bda4349cee,PMC,sw-ver-pub
SPSS,1.0,#annotator0,used,software,a5deab2db7-software-0,13.0,NA,SPSS Inc,NA,NA,a5deab2db7,PMC,sw-ver-pub
Chimera,1.0,#annotator3,used,software,dc8f900270-software-9,1.9,NA,UCSF,NA,http://www.cgl.ucsf.edu/ chimera,dc8f900270,PMC,sw-ver-url
SPSS,1.0,#annotator5,used,software,fd61c67292-software-2,15,NA,"SPSS, Inc",NA,NA,fd61c67292,PMC,sw-ver-pub
Analyze,1.0,#annotator4,used,software,b4b5b8ef0e-software-1,11.0,NA,AnalyzeDirect,NA,NA,b4b5b8ef0e,PMC,sw-ver-pub
Excel,1.0,#annotator1,used,software,d6f373b2e3-software-3,2003,2010,Microsoft,NA,NA,d6f373b2e3,PMC,sw-ver-pub
Statistical Analysis System,1.0,#annotator8,used,software,ead0656800-software-2,9.3,NA,SAS Institute Inc,NA,NA,ead0656800,PMC,sw-ver-pub
PeakFit,1.0,#annotator4,used,software,c1808df466-software-1,4.12,NA,Systat Software,NA,NA,c1808df466,PMC,sw-ver-pub
Scion Image Software,NA,#curator,NA,software,b707545bfd-software-0,Beta 4.03,NA,Scion Corporation,NA,NA,b707545bfd,PMC,sw-ver-pub
Statistical Package for the Social Sciences (SPSS),1.0,#annotator8,used,software,f8c73042e9-software-0,16,NA,IBM,NA,NA,f8c73042e9,PMC,sw-ver-pub
StatView,1.0,#annotator10,used,software,c14d437f5c-software-0,5.0,NA,Abacus Concepts,NA,NA,c14d437f5c,PMC,sw-ver-pub
SPSS,0.8,#annotator2,used,software,d5a20ab388-software-0,20.0,NA,SPSS,NA,NA,d5a20ab388,PMC,sw-ver-pub
SigmaStat,1.0,#annotator5,used,software,b63602c8fc-software-2,3.5,NA,Systat,NA,NA,b63602c8fc,PMC,sw-ver-pub
Stata,1.0,#annotator14,used,software,e67889e080-software-0,2014,NA,StataCorp,NA,NA,e67889e080,PMC,sw-ver-pub
SPSS,1.0,#annotator3,used,software,d3bb2cc0ab-software-1,10.1,NA,SPSS Inc,NA,NA,d3bb2cc0ab,PMC,sw-ver-pub
SPSS statistics,1.0,#annotator10,used,software,a8f63e8c25-software-0,22,NA,IBM,NA,NA,a8f63e8c25,PMC,sw-ver-pub
PASW Statistics,1.0,#annotator8,used,software,e4f159b9a7-software-0,18,NA,SPSS Inc,NA,NA,e4f159b9a7,PMC,sw-ver-pub
SPSS,1.0,#annotator3,used,software,fe986ffee5-software-0,11.0,NA,SPSS Inc,NA,NA,fe986ffee5,PMC,sw-ver-pub
SPSS© Statistics,NA,#curator,NA,software,b592cc489b-software-1,21,NA,IBM© Corp,NA,NA,b592cc489b,PMC,sw-ver-pub
NONMEM VI,NA,#curator,NA,software,b295ed8028-software-1,2,NA,"Reagents of the University of California,",NA,NA,b295ed8028,PMC,sw-ver-pub
NIS-Elements BR,1.0,#annotator3,used,software,e5f4c9f2d6-software-1,3.2,NA,Nikon,NA,NA,e5f4c9f2d6,PMC,sw-ver-pub
ChemAxon Standardizer,1.0,#annotator26,used,software,e0ab19a106-software-0,5.3,NA,ChemAxon,NA,http://www.chemaxon.com,e0ab19a106,PMC,sw-ver-url
SPSS,1.0,#annotator8,used,software,d1d5f347b7-software-0,20.0,NA,SPSS Inc,NA,NA,d1d5f347b7,PMC,sw-ver-pub
MATLAB,1.0,#annotator2,used,software,def9bb3aec-software-4,R2012a,NA,MathWorks,NA,NA,def9bb3aec,PMC,sw-ver-pub
Stata,0.9,#annotator5,used,software,ae251b972b-software-0,10,NA,StataCorp,NA,NA,ae251b972b,PMC,sw-ver-pub
ImageJ,1.0,#annotator22,used,software,c37baf4c08-software-0,1.44p,NA,U. S. National Institutes of Health,NA,http://imagej.nih.gov/ij,c37baf4c08,PMC,sw-ver-url
ImageJ,1.0,#annotator6,used,software,fac4e9a715-software-1,1.45,NA,NA,NA,imagej.en.softonic.com,fac4e9a715,PMC,sw-ver-url
SPSS,1.0,#annotator17,used,software,a4845ff716-software-3,17.0,NA,SPSS Inc,NA,NA,a4845ff716,PMC,sw-ver-pub
Alpha View Analysis Tools,1.0,#annotator5,used,software,fd6caf98c5-software-1,1.0,NA,ProteinSimple,NA,NA,fd6caf98c5,PMC,sw-ver-pub
Chimera,1.0,#annotator26,used,software,dd70cb48f4-software-4,1.51,NA,"UCSF Chimera, Resource for Biocomputing, Visualization, and Informatics at the University of California",NA,NA,dd70cb48f4,PMC,sw-ver-pub
SPSS,1.0,#annotator2,used,software,d2cff5c6ac-software-0,21,NA,IBM Corporation,NA,NA,d2cff5c6ac,PMC,sw-ver-pub
Stata,1.0,#annotator2,used,software,ad3486a8e5-software-0,10.0,NA,StataCorp LP,NA,NA,ad3486a8e5,PMC,sw-ver-pub
GraphPad Prism,1.0,#annotator4,used,software,e043051487-software-1,4.03,NA,GraphPad Software Inc,NA,NA,e043051487,PMC,sw-ver-pub
SPSS,1.0,#annotator10,used,software,e2932777b9-software-0,20.0,NA,IBM SPSS,NA,NA,e2932777b9,PMC,sw-ver-pub
GraphPad Prism,1.0,#annotator5,used,software,ea9be0892d-software-1,5,NA,GraphPad Software Inc,NA,NA,ea9be0892d,PMC,sw-ver-pub
Access,1.0,#annotator17,used,software,a983c32bc0-software-1,2007,NA,Microsoft,NA,NA,a983c32bc0,PMC,sw-ver-pub
Prism,1.0,#annotator14,used,software,ac1ff5ee2f-software-1,5,NA,GraphPad Software,NA,NA,ac1ff5ee2f,PMC,sw-ver-pub
GraphPad Prism,NA,#curator,NA,software,d55cfe3dc9-software-0,5,NA,"Graphpad Software, Inc",NA,NA,d55cfe3dc9,PMC,sw-ver-pub
SPSS,1.0,#annotator25,used,software,e8d7aba427-software-1,17.0,NA,SPSS Inc,NA,NA,e8d7aba427,PMC,sw-ver-pub
STATA/SE,1.0,#annotator3,used,software,ff58f4715c-software-1,11.0,NA,Stata Corp,NA,http://www.stata.com,ff58f4715c,PMC,sw-pub-url
SPSS,1.0,#annotator2,used,software,a49e43284d-software-0,16.0,NA,SPSS Inc,NA,NA,a49e43284d,PMC,sw-ver-pub
SPSS,1.0,#annotator3,used,software,e596a9111d-software-1,17.0,NA,SPSS,NA,NA,e596a9111d,PMC,sw-ver-pub
SPSS Statistics,1.0,#annotator3,used,software,b5d769ccdc-software-0,22,NA,IBM Corp,NA,NA,b5d769ccdc,PMC,sw-ver-pub
SAS System,0.9,#annotator20,used,software,f65f68bcfb-software-1,10.0,NA,SAS Institute Inc,NA,NA,f65f68bcfb,PMC,sw-ver-pub
Xcalibur,1.0,#annotator26,used,software,f45e4c5cda-software-0,2.0,NA,Thermo Electron Corporation,NA,NA,f45e4c5cda,PMC,sw-ver-pub
SPSS,1.0,#annotator17,used,software,b169356182-software-0,19.0,NA,"Statistical Product and Service Solutions, IBM Corporation",NA,NA,b169356182,PMC,sw-ver-pub
SPSS,1.0,#annotator10,used,software,db9f2ea3b0-software-1,18,NA,SPSS Inc,NA,NA,db9f2ea3b0,PMC,sw-ver-pub
Prism,1.0,#annotator10,used,software,dcb565048b-software-2,4.02,NA,GraphPad Software,NA,NA,dcb565048b,PMC,sw-ver-pub
R,0.9,#curator,used,software,c14beab48c-software-2,2.11,NA,R Foundation,NA,NA,c14beab48c,PMC,sw-ver-pub
JMP,1.0,#annotator2,used,software,c6a1d40a15-software-2,12.1.0,NA,SAS,NA,NA,c6a1d40a15,PMC,sw-ver-pub
DataAnalysis,0.9,#annotator18,used,software,ecfc7940c9-software-15,3.4.179,NA,Bruker Daltonics,NA,NA,ecfc7940c9,PMC,sw-ver-pub
Statistician,1.0,#annotator5,used,software,f63e25be05-software-4,2.0,NA,xlQA,NA,NA,f63e25be05,PMC,sw-ver-pub
GraphPad Prism,1.0,#annotator12,used,software,b3f42154ae-software-0,5,NA,GraphPad Software,NA,NA,b3f42154ae,PMC,sw-ver-pub
Excel,1.0,#annotator3,used,software,ab8f5b6468-software-1,2007,NA,Microsoft,NA,NA,ab8f5b6468,PMC,sw-ver-pub
KaleidaGraph,1.0,#annotator4,used,software,afa5ae4705-software-1,3.6.2,NA,Synergy Software,NA,NA,afa5ae4705,PMC,sw-ver-pub
PolyPhen,0.8,#annotator2,used,software,ad2cc0550b-software-1,2,NA,NA,NA,http://www. genetics.bwh.harvard.edu/pph2,ad2cc0550b,PMC,sw-ver-url
CLC main workbench,0.8,#annotator5,used,software,d825927b9e-software-10,5,NA,CLC bio,NA,NA,d825927b9e,PMC,sw-ver-pub
DeCyder,0.7,#annotator18,used,software,ecfc7940c9-software-12,6.5,NA,GE Healthcare,NA,NA,ecfc7940c9,PMC,sw-ver-pub
Image Pro Plus,0.8,#annotator5,used,software,c89402c533-software-1,5.0,NA,"Media Cybernetics, Inc",NA,NA,c89402c533,PMC,sw-ver-pub
ImageJ,1.0,#annotator22,used,software,c37baf4c08-software-0,1.44p,NA,U. S. National Institutes of Health,NA,http://imagej.nih.gov/ij,c37baf4c08,PMC,sw-ver-pub
FACSDiva,1.0,#annotator15,used,software,f3da8311a5-software-2,6.2,NA,BD Biosciences,NA,NA,f3da8311a5,PMC,sw-ver-pub
SPSS,1.0,#annotator22,used,software,ff8376d3d4-software-0,18.0,NA,IBM Co,NA,NA,ff8376d3d4,PMC,sw-ver-pub
NONMEM,0.8,#annotator2,used,software,a390909d47-software-0,7.2.0,NA,ICON Development Solutions,NA,NA,a390909d47,PMC,sw-ver-pub
SPSS,1.0,#annotator8,used,software,e476be30cd-software-0,16.0,NA,SPSS Inc,NA,NA,e476be30cd,PMC,sw-ver-pub
Stata,0.9,#annotator2,used,software,ef389fba4d-software-0,13,NA,StataCorp,NA,NA,ef389fba4d,PMC,sw-ver-pub
QLAB,1.0,#annotator5,used,software,e327be6a1e-software-0,8.1,NA,Philips,NA,NA,e327be6a1e,PMC,sw-ver-pub
Statistical Package for Social Sciences,1.0,#annotator7,used,software,e0f72a07d7-software-0,15.0,NA,SPSS,NA,NA,e0f72a07d7,PMC,sw-ver-pub
Review Manager,1.0,#annotator6,used,software,d5240db716-software-1,5.2.3,NA,the Cochrane Collaboration,NA,NA,d5240db716,PMC,sw-ver-pub
Igor Pro,1.0,#annotator26,used,software,c15e1b44d0-software-1,6,NA,WaveMetrics,NA,NA,c15e1b44d0,PMC,sw-ver-pub
PASW,1.0,#annotator5,used,software,eac3fa7d66-software-0,18.0,NA,SPSS Inc,NA,NA,eac3fa7d66,PMC,sw-ver-pub
Connectivity Map (Cmap),NA,#curator,NA,software,ed506dd278-software-18,02,NA,NA,NA,http://www.broad.mit.edu/cmap,ed506dd278,PMC,sw-ver-url
SPARTAN,1.0,#annotator26,used,software,fb68d4fb67-software-0,10,NA,"Wavefunction, Inc",NA,NA,fb68d4fb67,PMC,sw-ver-pub
pClamp,1.0,#annotator7,used,software,c01272ae78-software-0,10,NA,Axon Instruments,NA,NA,c01272ae78,PMC,sw-ver-pub
GraphPad Prism,1.0,#annotator26,used,software,c2a316b42a-software-1,5.0,NA,GraphPad Software,NA,NA,c2a316b42a,PMC,sw-ver-pub
AxioVision,1.0,#annotator7,used,software,e740a149a6-software-8,4.7.2.0,NA,"Carl Zeiss Image Solutions, Carl Zeiss",NA,NA,e740a149a6,PMC,sw-ver-pub
Statview,0.8,#annotator10,used,software,a318c8b120-software-0,5.0.1,NA,SAS Institute,NA,NA,a318c8b120,PMC,sw-ver-pub
RevMan,1.0,#annotator0,used,software,a0d4030692-software-2,5.2,NA,The Cochrane Collaboration,NA,NA,a0d4030692,PMC,sw-ver-pub
SPSS,1.0,#annotator0,used,software,ca2a999e61-software-1,22.0,NA,IBM Corp,NA,NA,ca2a999e61,PMC,sw-ver-pub
SPSS,1.0,#annotator4,used,software,c1fd449f43-software-0,11.0,NA,SPSS Inc,NA,NA,c1fd449f43,PMC,sw-ver-pub
MaxFilter,0.7,#annotator5,used,software,a7ca243fe8-software-2,2.0,NA,Elektra- Neuromag,NA,NA,a7ca243fe8,PMC,sw-ver-pub
STATA,1.0,#annotator12,used,software,e6fbd49778-software-0,12.1,NA,StataCorp,NA,NA,e6fbd49778,PMC,sw-ver-pub
Amira,1.0,#annotator4,used,software,d15658112a-software-1,5.5,NA,FEI Co,NA,NA,d15658112a,PMC,sw-ver-pub
ModFit LT,1.0,#annotator15,used,software,f3da8311a5-software-1,3.3,NA,"Verity Software House, Inc",NA,NA,f3da8311a5,PMC,sw-ver-pub
SPSS,1.0,#annotator14,used,software,e6e551dd94-software-1,15.0,NA,SPSS Inc,NA,NA,e6e551dd94,PMC,sw-ver-pub
Stereo Investigator,1.0,#annotator2,used,software,a690616f6c-software-0,6,NA,MicroBrightField,NA,NA,a690616f6c,PMC,sw-ver-pub
PASW Statistics,NA,#curator,NA,software,e0376d5d85-software-1,18.0,NA,IBM Co,NA,NA,e0376d5d85,PMC,sw-ver-pub
ScanEdit,1.0,#annotator16,used,software,d157ff1b1a-software-8,4.4,NA,Compumedics NeuroScan,NA,NA,d157ff1b1a,PMC,sw-ver-pub
ImageQuant,1.0,#annotator2,used,software,fc39ccdad0-software-0,5.2,NA,Molecular Dynamics,NA,NA,fc39ccdad0,PMC,sw-ver-pub
SAS,1.0,#annotator26,used,software,aabf4aee38-software-0,9.4,NA,SAS Institute Inc,NA,NA,aabf4aee38,PMC,sw-ver-pub
SPSS,1.0,#annotator5,used,software,d0a2319313-software-1,20,2003,SPSS Inc,NA,NA,d0a2319313,PMC,sw-ver-pub
Rhinoceros,1.0,#annotator10,used,software,c0ded04a6d-software-2,4.0,NA,McNeel North America,NA,NA,c0ded04a6d,PMC,sw-ver-pub
Excel,1.0,#annotator0,NA,software,ef72a6507f-software-1,2010,NA,Microsoft,NA,NA,ef72a6507f,PMC,sw-ver-pub
Sigma Plot,1.0,#annotator12,used,software,c43ed68373-software-0,11.0,NA,SPSS,NA,NA,c43ed68373,PMC,sw-ver-pub
PostgreSQL,0.7,#annotator2,used,software,cf8b3f85a1-software-1,9.1.4,NA,PostgreSQL Global Development Group,NA,http:// postgresql.org,cf8b3f85a1,PMC,all
STATA/SE,1.0,#annotator3,used,software,ff58f4715c-software-1,11.0,NA,Stata Corp,NA,http://www.stata.com,ff58f4715c,PMC,all
ImageJ,1.0,#annotator22,used,software,c37baf4c08-software-0,1.44p,NA,U. S. National Institutes of Health,NA,http://imagej.nih.gov/ij,c37baf4c08,PMC,all
MedCalc,1.0,#annotator5,used,software,d20a511e43-software-0,12.7.7,2013,MedCalc Software bvba,NA,http://www.medcalc.org,d20a511e43,PMC,all
javaNNS,0.8,#annotator2,used,software,a3d714f4f8-software-64,1.1,NA,University of Stuttgart,NA,http://www-ra.informatik.uni-tuebingen. de/downloads/JavaNNS,a3d714f4f8,PMC,all
GraphPad Prism,0.9,#annotator17,used,software,a7b2fbe727-software-3,6,NA,GraphPad Software,NA,https://it.mathworks.com/matlabcentral/fileex change/47711-dprime-simple-m,a7b2fbe727,PMC,all
ChemAxon Standardizer,1.0,#annotator26,used,software,e0ab19a106-software-0,5.3,NA,ChemAxon,NA,http://www.chemaxon.com,e0ab19a106,PMC,all
Chimera,1.0,#annotator3,used,software,dc8f900270-software-9,1.9,NA,UCSF,NA,http://www.cgl.ucsf.edu/ chimera,dc8f900270,PMC,all
Roman,1.0,#annotator2,used,software,eb11145f58-software-1,1.70,NA,Robert Jones and Agnes Hunt Orthopaedic Hospital,NA,http://www.cookedbits.co.uk/roma n/,eb11145f58,PMC,all
