reference,from_in_text_selection,article,quote,coder,page,reference_type
PMC3575798_Pettersen-2004,PMC3575798_BB06,PMC3575798,"Pettersen,E.F., Goddard,T.D., Huang,C.C., Couch,G.S.,Greenblatt,D.M., Meng,E.C. and Ferrin,T.E. (2004) UCSFChimera, a visualization system for exploratory research andanalysis.J. Comp. Chem.,25, 1605–1612",brentbiglin,9,publication
PMC3035800_Peng-2010,PMC3035800_RA18,PMC3035800,"Peng,H.et al.(2010) V3D enables real-time 3D visualization and quantitative analysisof large-scale biological image data sets.Nat. Biotechnol.,28, 348–353.",shruthikrish,8,publication
PMC3035800_Peng-2010,PMC3035800_RA18,PMC3035800,"Peng,H.et al.(2010) V3D enables real-time 3D visualization and quantitative analysisof large-scale biological image data sets.Nat. Biotechnol.,28, 348–353.",raghu-achukola,8,publication
PMC3035800_Peng-2010,PMC3035800_RA18,PMC3035800,"Peng,H.et al.(2010) V3D enables real-time 3D visualization and quantitative analysisof large-scale biological image data sets.Nat. Biotechnol.,28, 348–353",shruthikrish,8,publication
PMC3035800_Peng-2010,PMC3035800_RA18,PMC3035800,"Peng,H.et al.(2010) V3D enables real-time 3D visualization and quantitative analysisof large-scale biological image data sets.Nat. Biotechnol.,28, 348–353",raghu-achukola,8,publication
PMC3722356_BB04_Maldjian-2003,PMC3722356_BB04,PMC3722356,"Maldjian JA, Laurienti PJ, Kraft RA, Burdette JH. An automated methodfor  neuroanatomic  and  cytoarchitectonic  atlas-based  interrogation  offMRI data sets. Neuroimage 2003; 19: 1233–9.",brentbiglin,12,publication
10.1007%2Fs11123-009-0142-x_R-2009,10.1007%2Fs11123-009-0142-x_AN05,10.1007%2Fs11123-009-0142-x,"R Development Core Team (2009) R: a language and environment for statistical computing. R foundation for statistical computing, Vienna, Austria, http://www.R-project.org, ISBN 3-900051-07-0.",ankimnguyen,13,publication
PMC5041470_Mehta-2013,PMC5041470_HR09,PMC5041470,"77. Mehta,I., Chakraborty,S. and Rao,B.J. (2013) IMACULAT - anopen access package for the quantitative analysis of chromosomelocalization in the nucleus.PloS One,8, e61386.",henryrossiter,20,project_name
10.1111%2Fobes.12191_L¨utkepohl-2004,10.1111%2Fobes.12191_TL02,10.1111%2Fobes.12191,"L ¨utkepohl, H. and Kr¨atzig, M. (2004). ‘Applied Time Series Econometrics’, Cambridge University Press,
Cambridge.",tonyli0409,25,publication
PMC5111481_Corriveau_2008,PMC5111481_PS02,PMC5111481,"Corriveau  EA,  Durso  PJ,  Kaufman  ED,  et  al.:  Effect  of Carelink,  an  internet-based  insulin  pump  monitoring  system, on glycemic control in rural and urban children with type 1 diabetes mellitus. Pediatr Diabetes 2008;9:360–366.",ppseguel,7,publication
PMC4163634_BB02_Zarringhalam-2012,PMC4163634_BB02,PMC4163634,"Zarringhalam K, Meyer MM, Dotu I, Chuang JH &Clote P (2012) Integrating chemical footprinting datainto RNA secondary structure prediction.PLoS One7,e45160.",brentbiglin,15,publication
10.1007%2Fs10663-015-9287-1_Meyer01,10.1007%2Fs10663-015-9287-1_JWC01,10.1007%2Fs10663-015-9287-1,"Meyer R, Yu J (2000) BUGS for a Bayesian analysis of stochastic volatility models. Econom J 3:198–215",jackchristen,22,publication
PMC1636350_KATOH-2005,PMC1636350_CM19,PMC1636350,"Katoh,K., Kuma,K., Toh,H. and Miyata,T. (2005) MAFFT version 5:improvement in accuracy of multiple sequence alignment.NucleicAcids Res.,33, 511–518.",anneclarisse,10,publication
a2008-02-WATERBIRDS_Gulcher-2000,a2008-02-WATERBIRDS_KS02,a2008-02-WATERBIRDS,"Gulcher, J.R., Kristjansson, K., Gudbjartsson, H. & Stefansson, K. Protection of privacyby  third-party  encryption  in  genetic  research  in  Iceland.Eur. J. Hum. Genet.8,739–742 (2000).",luculentdig,10,publication
10.3846%2Fjbem.2010.28_Kersten01,10.3846%2Fjbem.2010.28_JWC07,10.3846%2Fjbem.2010.28,"Kersten, G. E.; Noronha, S. J. 1999. WWW-based negotiation support: design, implementation and use, Decision Support Systems 25(2): 135–154. ",jackchristen,21,publication
a2004-40-NAT_GENET_Hubbard_2002,a2004-40-NAT_GENET_RA01,a2004-40-NAT_GENET,"Hubbard, T.et al.The Ensembl genome database project.Nucleic Acids Res.30,38–41 (2002).",raghu-achukola,7,publication
PMC4666316_TZ03_Fox_2012,PMC4666316_TZ03,PMC4666316,"Fox, S.; Brenner, J. Family Caregivers Online. Washington, DC, USA: 2012. Available from: http://www.pewinternet.org/2012/07/12/family-caregivers-online/ [Accessed 25 October, 2014]",realrichardparker,12,publication
PMC4816756_Team-2014,PMC4816756_MZ05,PMC4816756,"Team, R.C., 2014.R: A Language and Environment for Statistical Computing.",oceanwall,10,project_name
PMC5220168_Navarro-2014,PMC5220168_JS05,PMC5220168,"P.Navarro, M.Trevisan-Herraz, E.Bonzon-Kulichenko,E.Nunez, P.Martinez-Acedo, D. Perez-Hernandez, I. Jorge, R.Mesa, E. Calvo, M. Carrascal, M.I. Hernaez, F. Garcia, J.A. Barcena, K. Ashman, J. Abian, C.Gil, J.M. Redondo, J.Vasquex, General statistics framework for quantitative proteomics by stable isotope labeling, J.Proteome Res. 13 (2014) 1234-1247 ",jcsick,13,publication
a2008-02-WATERBIRDS_Price-2006,a2008-02-WATERBIRDS_SK02,a2008-02-WATERBIRDS,"Price, A.L.et al.Principal components analysis corrects for stratification in genome-wide association studies.Nat. Genet.38, 904–909 (2006).",luculentdig,10,publication
a2008-02-WATERBIRDS_Price-2006,a2008-02-WATERBIRDS_SK02,a2008-02-WATERBIRDS,"Price, A.L.et al.Principal components analysis corrects for stratification in genome-wide association studies.Nat. Genet.38, 904–909 (2006).",shruthikrish,10,publication
PMC4271550_Core-2005,PMC4271550_MZ04,PMC4271550,"Core, R Team.2005. R: a language and environment for statistical com-puting. R Foundation for Statistical Computing, Vienna, Austria.",oceanwall,4,project_name
PMC4816756_Team-2014,PMC4816756_MZ18,PMC4816756,"Team, R.C., 2014.R: A Language and Environment for Statistical Computing.",oceanwall,10,project_name
PMC3013778_Langille-2009,PMC3013778_MZ21,PMC3013778,"Langille,M.G. and Brinkman,F.S. (2009) IslandViewer: anintegrated interface for computational identification andvisualization of genomic islands.Bioinformatics,25, 664–665.",oceanwall,6,publication
PMC1636350_EDGAR-2004,PMC1636350_CM44,PMC1636350,"Edgar,R.C. (2004) MUSCLE: multiple sequence alignment with highaccuracy and high throughput.Nucleic Acids Res.,32, 1792–1797.",anneclarisse,10,publication
10.1007%2Fs11558-011-9108-7_Tomz-1998,10.1007%2Fs11558-011-9108-7_TL02,10.1007%2Fs11558-011-9108-7,"Tomz, M., Wittenberg, J., & King, G. (1998). CLARIFY: Software for interpreting and presenting
statistical results. Cambridge: Harvard University.",tonyli0409,28,project_name
PMC3384331_Notredame-2000,PMC3384331_MZ17,PMC3384331,"Notredame,C., Higgins,D.G. and Heringa,J. (2000) T-Coffee: Anovel method for fast and accurate multiple sequence alignment.J. Mol. Biol.,302, 205–217.",oceanwall,12,publication
PMC4666316_TZ07_Williams_2013,PMC4666316_TZ09,PMC4666316,"Williams K, Arthur A, Niedens M, Moushey L, Hutfles L. In-home monitoring support for dementia caregivers: a feasibility study. Clin Nurs Res. 2013; 22(2):139–150. [PubMed:22997349] ",realrichardparker,13,publication
PMC4790474_Adams-2010,PMC4790474_TL06,PMC4790474,"Adams, P.D., Afonine, P.V., Bunkoczi, G., Chen, V.B., Davis, I.W., Echols, N.,
et al. (2010) PHENIX: a comprehensive Python-based system for macromolecular
structure solution. Acta Crystallogr. D Biol. Crystallogr. 66:
213–221.",tonyli0409,11,publication
10.1080%2F17421772.2011.647058_Anselin-2005,10.1080%2F17421772.2011.647058_TL01,10.1080%2F17421772.2011.647058,"Anselin, L. (2005) Exploring Spatial Data with GeoDaTM: A Workbook. Available at: https://www.geoda.uiuc.edu/
pdf/geodaworkbook.pdf",tonyli0409,35,user_guide
PMC1636350_KATOH-2005,PMC1636350_CM110,PMC1636350,"Katoh,K., Kuma,K., Toh,H. and Miyata,T. (2005) MAFFT version 5:improvement in accuracy of multiple sequence alignment.NucleicAcids Res.,33, 511–518.",anneclarisse,10,publication
PMC3028489_Dubra_2010,PMC3028489_PS01,PMC3028489,"A.Dubra and Z.Harvey, “Registration of 2D images from fast scanning ophthalmic instruments” presented at  WBIR 2010—Workshop on Biomedical Image Registration, July 11–13 2010, Lübeck, Germany",ppseguel,1,publication
PMC4038421_Vermunt-2005,PMC4038421_YK01,PMC4038421,"Vermunt JK, Magidson J. Latent Gold 4.0 User’s Guide. Bermont, MA:
Statistical Innovations Inc.; 2005",yashkar,11,user_guide
PMC3630384-Forbes-2011,PMC3630384_MS06,PMC3630384,"Forbes SA, Bindal N, Bamford S, Cole C, Kok CY, Beare D, et al. COSMIC: mining complete cancer genomes in the Catalogue of Somatic Mutations in Cancer. Nucleic Acids Res 2011;39:D945-D950.",mjsong1201,8,publication
PMC5132076-Li-2009,PMC5132076_MS03,PMC5132076,"Li H, Durbin R. Fast and  accurate  short read alignment with Burrows-Wheeler  transform.Bioinformatics.  2009;25:1754–1760.",mjsong1201,7,publication
PMC3384331_Hunter-2009,PMC3384331_MZ13,PMC3384331,"Hunter,S., Apweiler,R., Attwood,T.K., Bairoch,A., Bateman,A.,Binns,D., Bork,P., Das,U., Daugherty,L., Duquenne,L.et al.(2009) InterPro: the integrative protein signature database.NucleicAcids Res.,37, D211–D215.",oceanwall,12,publication
PMC3138425_Hubisz-2011,PMC3138425_TL09,PMC3138425,"Hubisz MJ, Pollard KS, Siepel A. 2011. PHAST and RPHAST: phylogenetic
analysis with space/time models. Brief Bioinform. 12(1):41–51.",tonyli0409,11,publication
10.3846%2Fjbem.2010.20_EVOICE-2005,10.3846%2Fjbem.2010.20_TL01,10.3846%2Fjbem.2010.20,"E-VOICE – the voice of the citizen in the information society – the challenge of future democracy in
Europe. 2005 [online] [cited 7 March 2005]. Available from Internet: <http://www.vibamt.dk/Interreghome.nsf/0/bf86de719a39c87ec1256d050035f1db?OpenDocument>",tonyli0409,11,project_page
PMC3065992_Posada-1998,PMC3065992_MZ08,PMC3065992,"Posada D, Crandall KA (1998). Modeltest: testing the model of DNA substitution. Bioinformatics14: 817–818.",oceanwall,25,publication
PMC3132874_Edgar-2004,PMC3132874_HR02,PMC3132874,Edgar RC.2004. Muscle: multiple sequence alignment with high accuracyand high throughput. Nucleic Acids Res.32:1792–1797.,henryrossiter,9,publication
10.1111%2Fj.1467-6419.2007.00527.x_Abadie-2004,10.1111%2Fj.1467-6419.2007.00527.x_TL04,10.1111%2Fj.1467-6419.2007.00527.x,"Abadie, A., Drukker, D., Leber Herr, J. and Imbens, G. (2004) Implementing matching
estimators for average treatment effects in STATA. Stata Journal 4(3): 290–
311.",tonyli0409,38,publication
PMC2950835_SG04_SmithandDunn2008,PMC2950835_SG04,PMC2950835,"Smith  S.A.,  Dunn  C.W.  2008.  Phyutility:  a  phyloinformatics  tool  fortrees, alignments and molecular data. Bioinformatics 24:715–6",sonakshigarg23,9,publication
PMC5226643_Smith01,PMC5226643_JWC06,PMC5226643,"P. M. Smith, P. D. Asimow, Adiabat_1ph: A new public front-end to the MELTS, pMELTS,and pHMELTS models.Geochem. Geophys. Geosyst.6, Q02004 (2005).",jackchristen,7,publication
10.1111%2Fecin.12482_Fischbacher-2007,10.1111%2Fecin.12482_TL02,10.1111%2Fecin.12482,"Fischbacher, U. “z-Tree: Zurich Toolbox for Readymade
Economic Experiments.” Experimental Economics, 10,
2007, 171–78.",tonyli0409,17,publication
PMC4374707_Luengo-1999,PMC4374707_MZ03,PMC4374707,"16. Luengo Hendriks CL, van Vliet LJ, Rieger B, van Ginkel M. DIPimage: A ScientificImage Processing Toolbox for MATLAB. Delft, The Netherlands: Quantitative Imag-ing Group, Delft University of Technology; 1999. Available at http://www.diplib.org/.Accessed on November 15, 2013.",oceanwall,15,project_name
doi-cited:10.1007%2Fs10258-013-0091-1_Hansen-2010,10.1007%2Fs10258-013-0091-1_TL01,10.1007%2Fs10258-013-0091-1,"Hansen PR, Lunde A (2010) MulCom 2.00, an Ox™ software package for multiple comparisons. http://
mit.econ.au.dk/vip htm/alunde/mulcom/mulcom.htm",tonyli0409,25,project_page
PMC5238813_Cannon-2012,PMC5238813_SK12,PMC5238813,"Cannon AJ [webpage on the Internet].
     monmlp: Monotone multi-layer perceptron  neural  network;  2012.  R  package  version  1.1.2.
      Avail-able  from: http://CRAN.R-project.org/package=monmlp.  Accessed October 27, 2016",raghu-achukola,9,project_page
PMC5238813_Cannon-2012,PMC5238813_SK12,PMC5238813,"Cannon AJ [webpage on the Internet].
     monmlp: Monotone multi-layer perceptron  neural  network;  2012.  R  package  version  1.1.2.
      Avail-able  from: http://CRAN.R-project.org/package=monmlp.  Accessed October 27, 2016",shruthikrish,9,project page
PMC5238813_Cannon-2012,PMC5238813_SK12,PMC5238813,"Cannon AJ [webpage on the Internet]. monmlp: Monotone multi-layer perceptron  neural  network;  2012.  R  package  version  1.1.2.  Avail-able  from: http://CRAN.R-project.org/package=monmlp.  Accessed October 27, 2016",raghu-achukola,9,project_page
PMC5238813_Cannon-2012,PMC5238813_SK12,PMC5238813,"Cannon AJ [webpage on the Internet]. monmlp: Monotone multi-layer perceptron  neural  network;  2012.  R  package  version  1.1.2.  Avail-able  from: http://CRAN.R-project.org/package=monmlp.  Accessed October 27, 2016",shruthikrish,9,project page
PMC4875560_Harrell01,PMC4875560_JWC03,PMC4875560,"Harrell FE.Regression Modeling Strategies: With Applications to Linear Models, Logisticand Ordinal Regression, and Survival Analysis. New York, NY: Springer; 2015.",jackchristen,9,publication
PMC3768679_SAS01,PMC3768679_JWC01,PMC3768679,"SAS System for windows (Statistical Analysis System), versão 9.1.3
    Service Pack 3. SAS Institute Inc, 2002-2003, Cary, NC, USA",jackchristen,9,project_name
PMC3035800_Chan-2001,PMC3035800_RA44,PMC3035800,"Chan,T. and Vese,L. (2001) Active contours without edges.IEEE Trans. Image Process,10, 266–277.",raghu-achukola,7,publication
PMC5478307_Li-2009,PMC5478307_MS01,PMC5478307,"Li R, Li Y, Fang X, et al. SNP detection for massively parallel whole-genome resequencing. Genome Res 2009;19:1124–32.",mjsong1201,7,publication
PMC2686520_Dam-2007,PMC2686520_HR02,PMC2686520,"6. Dam,P., Olman,V., Harris,K., Su,Z. and Xu,Y. (2007) Operonprediction using both genome-specific and general genomic infor-mation.Nucleic Acids Res.,35, 288–298.",henryrossiter,5,project_name
PMC3138425_Hubisz-2011,PMC3138425_TL01,PMC3138425,"Hubisz MJ, Pollard KS, Siepel A. 2011. PHAST and RPHAST: phylogenetic
analysis with space/time models. Brief Bioinform. 12(1):41–51.",tonyli0409,11,publication
PMC4666316_TZ12_Marziali_2011,PMC4666316_TZ12,PMC4666316,"Marziali E, Garcia LJ. Dementia caregivers’ responses to 2 internet-based intervention programs. Am J Alzheimers Dis Other Demen. 2011; 26(1):36–43. [PubMed: 21282276]",realrichardparker,13,publication
PMC5419106_Hammer01,PMC5419106_JWC01,PMC5419106,"Hammer Ø, Harper DA, Ryan PD. PAST: paleontological sta-tistics software package for education and data analysis. Palae-ontol Electron 2001;4:9-18. ",jackchristen,6,publication
PMC4583706-Aryee-2014,PMC4583706_MS02,PMC4583706,"M.J. Aryee, A.E. Jaffe, H. Corrada-Bravo, et al., Minfi:aflexible and comprehensiveBioconductor package for the analysis of Infinium DNA methylation microarrays.Bioinformatics 30 (10) (2014) 1363–1369.",mjsong1201,4,publication
PMC5339831_Taus-2011,PMC5339831_SK07,PMC5339831,"Taus T, Kocher T, Pichler P, et al. Universal and confident phosphorylation site localization using phosphoRS. J Pro-teome Res 2011; 10:5354-5362",shruthikrish,23,publication
PMC2447753_Rivas_2001,PMC2447753_TZ07,PMC2447753," Rivas,E. and Eddy,S.R. (2001) Noncoding RNA gene detectionusing comparative sequence analysis.BMC Bioinformatics,2,8.",realrichardparker,5,publication
PMC5478307_McKenna-2010,PMC5478307_MS02,PMC5478307,"McKenna A, Hanna M, Banks E, et al. The Genome Analysis Toolkit: aMapReduce framework for analyzing next-generation DNA sequencingdata. Genome Res 2010;20:1297–303.",shruthikrish,7,publication
PMC5478307_McKenna-2010,PMC5478307_MS02,PMC5478307,"McKenna A, Hanna M, Banks E, et al. The Genome Analysis Toolkit: aMapReduce framework for analyzing next-generation DNA sequencingdata. Genome Res 2010;20:1297–303.",mjsong1201,7,publication
Tamura_2007,PMC4397380_TZ03,PMC4397380,"Tamura K, Dudley J, Nei M, Kumar S. MEGA4: molecularevolutionary genetics analysis (MEGA) software version 4.0.Mol Biol Evol 2007;24:1596-9.",realrichardparker,7,publication
PMC3384331_Lupas-1991,PMC3384331_MZ16,PMC3384331,"Lupas,A., Van Dyke,M. and Stock,J. (1991) Predicting coiledcoils from protein sequences.Science,252, 1162–1164.",oceanwall,12,publication
PMC4826955_Thorhauer-2015,PMC4826955_MZ01,PMC4826955,"Thorhauer E, Tashman S. Validation of a method for combining bipla-nar radiography and magnetic resonance imaging to estimate kneecartilage contact.Med Eng Phys. 2015;37:937-947.",oceanwall,8,publication
PMC432784_R-2010,PMC4323784_TL01,PMC4323784,"R Development Core Team. R: a Language and Environment for Statistical
Computing. Vienna, Austria: R Foundation for Statistical Computing; 2010.
Available at: http://www.R-roject.org/. Accessed October 17, 2014.",tonyli0409,10,project_page
PMC5238813_Breiman-2001,PMC5238813_SK08,PMC5238813,Breiman L. Random forests. Mach Learn. 2001;45:5–32.,shruthikrish,9,publication
PMC2626662_Emsley01,PMC2626662_JWC13,PMC2626662," Emsley ,  P. , and  K. Cowtan .  2004 .  Coot: model-building tools for mo-lecular graphics. Acta Crystallogr. D Biol. Crystallogr.60 : 2126 – 2132 . ",jackchristen,11,publication
PMC3710983_Stata-2009,PMC3710983_TL01,PMC3710983,". Stata Statistical Software: Release 11 [program]. 11 version. College
Station, TX: StataCorp LP, 2009.",tonyli0409,9,project_name
PMC5054108_Eisenhaber01,PMC5054108_JWC06,PMC5054108,"Eisenhaber, B.,et al.  1999.  Prediction of potentialGPI-modification sites in proprotein sequences.J.Mol. Biol.292: 741-758.",jackchristen,10,publication
PMC2927682_deBakkerPI-2005,PMC2927682_CF01,PMC2927682,"24. de BakkerPI, Yelensky R, Pe’er I, et al. Efficiency and power in genetic association studies. Nat Genet 2005;37:1217–23",caifand,5,publication
PMC5210542_Cunningham01,PMC5210542_JWC13,PMC5210542,"Cunningham,F., Amode,M.R., Barrell,D., Beal,K., Billis,K.,Brent,S., Carvalho-Silva,D., Clapham,P., Coates,G., Fitzgerald,S.et al.(2015) Ensembl 2015.Nucleic Acids Res.,43, D662–D669.",jackchristen,58,publication
PMC4790474_McCoy-2007,PMC4790474_TL03,PMC4790474,"McCoy, A.J., Grosse-Kunstleve, R.W., Adams, P.D., Winn, M.D., Storoni, L.C.
and Read, R.J. (2007) Phaser crystallographic software. J. Appl.
Crystallogr. 40: 658–674.",tonyli0409,12,publication
PMC5293311_Pusic01,PMC5293311_JWC04,PMC5293311,"Pusic AL, Klassen AF, Scott AM, et al. Development of a new patient-reported outcome measure for breast surgery: the BREAST-Q. Plast Reconstr Surg. 2009;124:345–353.",jackchristen,4,publication
PMC4568868_Ferreira_2011,PMC4568868_AN01,PMC4568868,Ferreira DF (2011). Sisvar: a computer statistical analysis system. Cienc Agrotec 35: 1039-1042.,ankimnguyen,5,software
PMC3765960_Nguyen01,PMC3765960_JWC03,PMC3765960,"Nguyen, Q.T., Tsai, P.S., and Kleinfeld, D. (2006). MPScope: a versatile soft-ware suite for multiphoton microscopy. J. Neurosci. Methods156, 351–359",jackchristen,12,publication
PMC2626662_CCC01,PMC2626662_JWC10,PMC2626662,"Collaborative Computational Project, Number 4 .  1994 .  The CCP4 suite: programs for protein crystallography. Acta Crystallogr. D Biol. Crystallogr.50 : 760 – 763 ",jackchristen,11,publication
PMC3177212_Fiser01,PMC3177212_JWC02,PMC3177212,"Fiser,A. and Sali,A. (2003) Modeller: generation and refinementof homology-based protein structure models.Methods Enzymol.,374, 461–491.",jackchristen,12,publication
PMC3309518_Rorden_2000,PMC3309518_RA06,PMC3309518,"Rorden C, Brett M. Stereotaxic display of brain lesions.Behav Neurol2000;12: 191–200.",raghu-achukola,7,publication
PMC4586740_Santamaria-2012,PMC4586740_TL23,PMC4586740,"Santamaría, R., and P.  Pierre. 2012. Voronto: mapper for expression data to
ontologies. Bioinformatics. 28:2281–2282. http://dx.doi.org/10.1093/
bioinformatics/bts428",tonyli0409,20,publication
PMC1636350_KATOH-2005,PMC1636350_CM22,PMC1636350,"Katoh,K., Kuma,K., Toh,H. and Miyata,T. (2005) MAFFT version 5:improvement in accuracy of multiple sequence alignment.NucleicAcids Res.,33, 511–518.",anneclarisse,10,publication
PMC3281721_Cornell01,PMC3281721_JWC07,PMC3281721,"Cornell, W. D., Cieplak, P., Bayly, C. I., Gould, I. R., Merz, K. M., Jr.,Ferguson, D. M., Spellmeyer, D. C., Fox, T., Caldwell, J. W., and Kollman,P. A. (1995) A second generation force field for the simulation of proteins,nucleic acids, and organic molecules.J. Am. Chem. Soc.117,5179–5197",jackchristen,12,publication
PMC4797302_Hu01,PMC4797302_JWC17,PMC4797302,"Hu,M., Deng,K., Selvaraj,S., Qin,Z., Ren,B. and Liu,J.S. (2012)HiCNorm: removing biases in Hi-C data via Poisson regression.Bioinformatics,28, 3131–3133.",jackchristen,8,publication
PMC3400965_Zdobnov-2001,PMC3400965_AN04,PMC3400965,"Zdobnov,E.M. and Apweiler,R. (2001) InterProScan—an integration platform for the signature-recognition methods in InterPro. Bioinformatics, 17, 847–848.",ankimnguyen,2,publication
PMC3890939_Larson_1994,PMC3890939_RA04,PMC3890939,"Larson, A. C. & Von Dreele, R. B.General Structure Analysis System (GSAS), LosAlamos National Laboratory ReportLAUR 86–748 (1994)",raghu-achukola,4,publication
PMC3223056_Bradbury_2007a,PMC3223056_PS18,PMC3223056,"Bradbury PJ, Zhang Z, Kroon DE, Casstevens TM, Ramdoss Y, Buckler ES. 2007. TASSEL: software for association mapping ofcomplex traits in diverse samples. Bioinformatics 23, 2633–2635",ppseguel,17,publication
10.1111%2Fecoj.12284_Fischbacher2007,10.1111%2Fecoj.12284_MZ01,10.1111%2Fecoj.12284,"Fischbacher, U. (2007). ‘Z-tree: Z€urich toolbox for ready-made economic experiments’,ExperimentalEconomics, 10(2), pp. 171–8.",oceanwall,24,publication
PMC2895706_Research-Triangle-Institute-2005,PMC2895706_JS02,PMC2895706,"Research Triangle Institute. SUDAAN, Release 9.0. Research Triangle Park. NC; 2005",jcsick,9,project name
PMC3575798_Emsley-2004,PMC3575798_BB03,PMC3575798,"Emsley,P. and Cowtan,K. (2004) Coot: Model-building tools formolecular graphics.Acta Crystallogr. D Biol. Crystallogr.,60,2126–2132.",brentbiglin,9,publication
PMC3365791_National_2006,PMC3365791_TZ07,PMC3365791,"National Committee on Vital and Health Statistics. Personal
    Health Records and Personal Health Record Systems. US
    Department of Health and Human Services, 2006",realrichardparker,7,publication
PMC3819448-Tamura-2011,PMC3819448_MS01,PMC3819448,"Tamura K, Peterson D, Peterson N, Stecher G, Nei M, Kumar S. MEGA5: molecular evolutionary genetics analysis using maximum likeli-hood, evolutionary distance, and maximum parsimony methods. Mol Biol Evol 2011;28:2731-9.",mjsong1201,4,publication
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_MD04,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland.",mrcyndns,14,user_guide
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_MD04,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland.",jcsick,14,publication
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_MD04,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland.",shruthikrish,14,user guide
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_MD04,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland",mrcyndns,14,user_guide
a2001-40-MOL_ECOL_Swofford-1998,a2001-40-MOL_ECOL_MD04,a2001-40-MOL_ECOL,"Swofford DL (1998) PAUP*. Phylogenetic Analysis Using Parsimony(*and Other Methods), Version 4. Sinauer Associates, Sunderland",jcsick,14,publication
