selection,coder,article,quote,page,mention_type,certainty,memo
PMC2935446_AN03,ankimnguyen,PMC2935446,"These predictors could be categorized into four groups: (i) methods based on relative propensity of amino acids to form disorder/ordered regions which include GlobPlot (Linding et al., 2003), IUPred (Dosztányi et al., 2005), FoldIndex (Prilusky et al., 2005) and Ucon (Schlessinger et al., 2007a);",1,software,10,"Google search, downloadable."
PMC4468934_AN01,ankimnguyen,PMC4468934,"Mice received vehicle or galangin pretreatment and cona injection. (A) Two hours after cona injection, iκBα, piκBα, sTaT1, and psTaT1 proteins in liver tissue were analyzed by Western blotting. (B) Band intensities of piκBα and pSTAT1 were quanti ed by ImageProPlus 5.0 software. Densitometry con rms the decrease in IκBα and sTaT1 phosphorylation in response to galangin. The results are representative of three experiments. ***P,0.001.",9,software,10,Stated in article.
PMC461653_BB01,brentbiglin,PMC4616535,All statistical analyses were performed using GraphPadPrism 5 software,3,software,10,it says it's software
PMC2650971_JWC02,jackchristen,PMC2650971,"The models and scenarios were simulated using the R pro-gram (Version 2.4.1, http://www.r-project.org/). ",2,software,7,looked it up
PMC3674238_JWC02,jackchristen,PMC3674238,"To quantify fluorescence recovery MATLAB (MathWorks, 2010a)routines were implemented.",10,software,9,looked it up
PMC3628511_JWC02,jackchristen,PMC3628511,Images were analyzed using ImageJ with JACoP and RatioPlus plugins (National Institutes of Health) to assess colocaliza-tion and ratiometrics.,11,software,7,looked it up
PMC3429821_EK02,evelynkue,PMC3429821,"With commercially available software (Radi Medical Systems, Upps-lae, Sweden), the shaft of the pressure wire can act as a proximal thermistor, sensor near the tip of the wire simultaneously mea-sured the pressure and temperature acting as a distal thermis-tor.",3,software,10,authors state they used software even though it doesn't have a name.
PMC4551318_HR07,henryrossiter,PMC4551318,Images from FRET time-lapse series were processed with Fiji.,11,software,9,Fiji is similar to ImageJ according to google
PMC1874646_CB02,courtneybroderick,PMC1874646,"Data were processed and subjected to database searches
using Proteinlynx Global Server version 2.1 (Micromass,
UK) or MASCOT software (Matrixscience) against
SWISSPROT and the NCBI non-redundant database,
with a 0.25-Da mass tolerance for both precursor ion and
fragment ion.",3,software,10,Proteinlynx google search confirmed
PMC3859226_JWC02,jackchristen,PMC3859226,"Data   were   analysed   by   a   combination   of   pClamp   (AxonInstruments),  Excel  (Microsoft),  SPSS  (IBM)  and  ORIGIN  (Microcalsoftware)",3,software,8,looked it up
PMC2518487_CB01,carsonbrown19,PMC2518487,. Graft survivalwas calculated according to the Kaplan-Meier method (4).,2,algorithm,10,Google says Kaplan-Meier is a statistical method/algorithm
PMC1636350_CM116,anneclarisse,PMC1636350,"However, the time-consuming ProbCons-type consistency operations on sequence triplets are not implemented in MAFFT.",8,software,10,Google
PMC2921509_MZ01,oceanwall,PMC2921509,"Statistical analysesfor comparison groups employed one-way ANOVA, followed by theTukey – Kramerpost hoctest performed with GraphPad prism software(version  4.0,  GraphPad  Software,  San  Diego,  CA,  USA).",2,software,10,itm explicitly refers to software
PMC5440121_AN01,ankimnguyen,PMC5440121,"Multiple comparison was adopted to calculate the differences in MAP, HR, and BIS between group at T1, T2, T3, and T4. P < .05 indicates significant differences. The analysis was conducted in the SPSS 18.0 software.",2,software,10,Stated in article.
PMC3013778_MZ25,oceanwall,PMC3013778,A NCBI RPSBLAST (ReversePSI-BLAST) (30) interface that relies on a positionspecific scoring matrix to identify potential toxin or anti-toxin domains in a user-supplied protein sequence is alsoprovided.,3,software,10,"googled name, confirmed its status from creator page"
PMC4240489_FJ01,jasleen29,PMC4240489,"Mann-Whitney U-test, Student t-test, χ2-test, the Fisher exact test were used as appropriate to compare premedication groups with respect to baseline characteristic and outcomes of interest; significance level was set at 0.05, Statistica ver. 8.0 (StatSoft, Tulsa, OK, USA) was used to perform the analysis.",2,software,10,advanced analytics software portfolio
PMC5435914_TL01,tonyli0409,PMC5435914,"Illumina pipeline analyzed short reads were uniquely
aligned allowing at best two mismatches to the UCSC (The
Genome Sequencing Consortium) human genome version
hg18, using the program BOWTIE (19)",3,software,10,word program used
PMC5112610_HR04,henryrossiter,PMC5112610,"new isoform were predicted by online tools ProtParam and ProtScale (http://www.expasy.ch/tools/protscale.html),",2,software,10,its a web app
PMC5036010_JWC05,jackchristen,PMC5036010,"Sick leaves were difficult to trace uniformly by thedata extraction software because of the extensive timeframe, and many sick leaves, especially before 2000,had to be excluded.",6,software,10,called software
PMC4122291_JS01,jcsick,PMC4122291,Allcalculations were performed using an automated Matlab script.,10,software,9,Matlab is a common computing software
PMC4789845_JWC03,jackchristen,PMC4789845,"Using  TargetScan  and  miRanda  tools  online,  we  screened several invasion- and migration-related genes",4,software,8,looked it up
PMC4004907_MS01,mjsong1201,PMC4004907,"The decolorified gelswere then scanned with an image scanner (EpsonGT-6500: Seiko Epson Corporation, Nagano,Japan) and analyzed using an image processingand analysis program for Macintosh (NIH Image 1.61: National Institutes of Health, United States).",3,software,10,it says analysis program.
PMC5039120_BB02,brentbiglin,PMC5039120,"AS statistical software ver. 9.4 (SAS In-stitute Inc., Cary, NC, USA) was used to conduct statistical analyses.",3,software,10,it says it's software
PMC5041470_HR01,henryrossiter,PMC5041470,chromosome territory (centre hererefers to the center of mass) was measured using BitplaneImaris software.,3,software,10,says it is software in quote
PMC4103437_EK04,evelynkue,PMC4103437,"Prim-ing sites were selected for 19 consensus sequences using Primer3 ( Rozen and Skaletsky, 2000 ); selection was based on product length, ease of primer de-sign, and gene designation.",2,software,7,"I looked it up, and it looks like software."
PMC3650246_MP08,meganpearson,PMC3650246,"The membrane was then devel-oped with Pierce SuperSignal West Pico or Dura Extended DurationSubstrate (Pierce, Rockford, IL) and imaged with KodakX-OMAT film",9,hardware,10,I googled it
PMC4870320_YK01,yashkar,PMC4870320,"All statistical analyses were performed using the IBM SPSS
ver. 20 (IBM Co., Armonk, NY, USA) with a 95% confidence
level. ",3,software,10,Googled
PMC3329738_JWC06,jackchristen,PMC3329738," structure of that class using Needleman–Wunsch algorithm(Needleman and Wunsch, 1970) as implemented in EMBOSS(Rice et al., 2000). ",6,software,8,looked it up
PMC5133663_JWC01,jackchristen,PMC5133663,All statistical analyses were conductedusing SPSS version 21 software (IBM Corporation).,3,software,10,called software
PMC3529531_MS06,mjsong1201,PMC3529531,The dataset analysis was performed in Excel 2008 (Microsoft) for Mac OS X (v12.2.0) and Prism 5 (GraphPad Software) for Mac OS X (v5.0d).,12,software,8,scientific software
PMC3501353_JWC04,jackchristen,PMC3501353,MKs  and vasculatures were measured in the reconstructed 3D structure using Volocity software (PerkinElmer).,14,software,10,called software
PMC4069613_HR01,henryrossiter,PMC4069613,We used DAVID GO analysis software to identify over-represented  functions  among  duplicate  genes,6,software,10,it says it is software in quote
PMC4700408_YC01,monicacho92,PMC4700408,The amount of total RNA was quantified with spectrophotometer.,2,hardware,10,Double checked on Google
PMC4586740_TL01,tonyli0409,PMC4586740," The relative LC3II
accumulation was quantified using ImageJ (National Institutes of Health; right). ",3,software,10,googled
PMC5210394_MS01,mjsong1201,PMC5210394,Statistical analyses were performed using the R statistical software computer program version 2.13.1 (R Foundation forStatistical Computing).,5,software,10,it says software.
PMC2831195_JWC01,jackchristen,PMC2831195,"tate-of-the-art literature. For policy-making documents, Eur-lex has been employed",2,software,5,looked it up
PMC2703206_SA01,sehreenali,PMC2703206,"The absolute integrated optical density of each band was analyzed by GelPro analyzer software (MediaCybernetics, Silver Spring, MD)",2,software,10,said it was a type of software
PMC3575798_BB06,brentbiglin,PMC3575798,Illustrations were generatedwith the program UCSF Chimera (28).,3,software,9,Official site says it's a software program for data visualization
PMC5135399_MZ02,oceanwall,PMC5135399,"Data tabulation and statistical operations were performed with SAS 9.3 (SAS Institute, Inc., Cary, NC, USA) and Microsoft Office  Excel  7.0  (Microsoft  Corporation,  Redmond,  WA, USA) software.",4,software,10,Microsoft Excel is a well known statistical analysis software
PMC3035800_RA18,raghu-achukola,PMC3035800,"Input andoutput of image series is designed to be compatible with other visualizationsoftware,  most  notablyv3d(Penget  al.,  2010)  for  producing  renderedvisualizations of the output.",4,software,10,says software
PMC4068285_JWC02,jackchristen,PMC4068285,wasconsidered significant using GraphPad for graphic presentation,3,software,8,looked it up
PMC4408226_CB18,courtneybroderick,PMC4408226,"Comparison of the developed consensus model with DERMWIN software showed that
our model significantly outperformed DERMWIN in predictivity (Q2
ext = 72% and 43%,
respectively) but at the expense of some lost in coverage (77% vs. 100%); when applied to
the same set of compounds as used for DERMWIN (ignoring the AD for our models) the
performance of our model is still higher (Q2
ext = 71% vs. 66%).",12,software,10,Another mention of DERMWIN.
PMC3722356_BB04,brentbiglin,PMC3722356,"Whenever possible we then usedthe Anatomy ToolBox (Eickhoffet al., 2007) or the AAL atlasof the WFU Pickatlas (Maldjianet al., 2003) for regions not yetincluded in the Anatomy ToolBox and then combined them into asingle composite anatomical region of interest using a logical ‘OR’(Fig. 2, blue transparent regions).",4,software,10,main website says it's software
PMC5023377_AN03,ankimnguyen,PMC5023377,"myelination state, whose axoplasm was intercepted by a sampling line, were tagged and counted. (c) Mean g ratio (axon diameter divided by entire myelinated  ber diameter) was determined using Image-Pro Plus software as described.6,59 Data represent mean ± SD; n = 5 mice per group",9,software,10,Stated in article.
PMC3223056_PS24,ppseguel,PMC3223056,"As a referencegene, aB. napusactin gene (GenBank accession number FJ529167)was amplified with primers N062 and N063",5,other,7,GenBank is mentioned before
PMC2453617_MZ02,oceanwall,PMC2453617,Cell staining was analyzed with FACScanflow cytometer using CellQuest software (BD Biosciences Systems).,2,software,10,itm explicitly mentions software
PMC4280825_AN07,ankimnguyen,PMC4280825,"The structures were prepared for docking using LigPrep (version 2.5, Schrçdinger, LLC, New York, NY, 2012) generating different pro- tonation states.",7,software,10,Google search.
PMC2935446_AN69,ankimnguyen,PMC2935446,"e selected CASP8 target T0480 (PDBid 2K4X) which was solved with NMR, and CASP8 target T0404 (PDBid 2DFE) which was solved with X-ray crystallography, as our case studies. We compare side-by-side prediction of MFDp, its input predictors DISOPRED2, IUPred, DISOclust, the recent ensemble-based MD, and two top- performing on the CASP8 (with respect to MCC) McGuffin [379] and GeneSilicoMetaServer [297] methods (Fig. 4)",7,software,10,Google search.
PMC1636350_CM61,anneclarisse,PMC1636350,The  reference  alignments  inSABmark  were  also  derived  from  the  consensus  of  SOFIand  CE.,6,software,10,Google
PMC3025493_FJ04,jasleen29,PMC3025493,All statistical analyses were performed using paired Student’s t tests and Microsoft Excel or Prism software packages,12,software,10,verified
PMC3246293_JS24,jaskiratsingh23,PMC3246293,The layout is then exported as an XML CRF specification to be included in CARAT.,5,software,10,repetetive use
PMC3223056_PS27,ppseguel,PMC3223056,Linkage disequilibrium and polymorphisms at theBnaA.FRI.alocus. (A) 40 polymorphisms (SNPs and InDels) inBnaA.FRI.awereused to calculate their pairedR2values (y-axis) with TASSEL.,9,software,10,mentioned before as a software
PMC2773253_TL82,tonyli0409,PMC2773253,"Thus, PlayMOBY reduces the overheads
of publishing BioMOBY web services.",5,software,7,described previously as software tool
PMC3936211_CM02,anneclarisse,PMC3936211," Then, the rolling, normal, andtransverse directions were properly aligned via the Matlab-based mtex program35.",5,software,10,Google
PMC2475704_CM02,anneclarisse,PMC2475704,"Data were analyzed withAffymetrix suite 5.0, corrected for saturation, and evaluatedwith GeneSpring 5.0 software.",2,software,10,Explicitly states that it's software.
PMC5041470_HR09,henryrossiter,PMC5041470,"2D-FISH images were analyzed and quantitated by using the computational script IMACULAT(76,77). ",13,software,10,says it is software twice earlier in same article
PMC4776054_MS01,mjsong1201,PMC4776054,"Statistical analyses were conducted using Statistical Analysis Software (SAS), version 9.3 (SAS Institute Inc., Cary, NC).",2,software,10,it says software
PMC3686433_EK05,evelynkue,PMC3686433,"For example, the recently developed ab initio gene  finder  Prodigal,",12,software,10,A gene finding software program.
PMC5419227_YK05,yashkar,PMC5419227,"The statistical analyses were done via
STATA version 11",4,software,10,Googled
PMC4720847_HR04,henryrossiter,PMC4720847," After confirming the border detection, the software automatically calculated and displayed the results.",3,software,10,Says software in quote. referring to the software mentioned a few lines earlier
PMC2731890_EK05,evelynkue,PMC2731890,Upon scanning PlatProm con-siders any nucleotide as a probable point of transcriptioninitiation and scores this probability by searching forpromoter-specific elements in proper positions.,1,software,10,Was mentioned as software
PMC4181210_HR04,henryrossiter,PMC4181210,The blink detection software can be used to evaluate sleep times.,4,software,10,says software in quote
PMC4666316_TZ21,realrichardparker,PMC4666316,"A commercially available example is the QuietCare system, which monitors ADLs.",6,hardware,7,"Website finds a physical product for monitoring health remotely, potentially has AI and machine learning algorithms behind it though"
PMC4234332_JWC01,jackchristen,PMC4234332,"Statistical analysis of the data was performed using one-way ANOVA followed by a multiple-comparison Sheffe’s test with Statview 5.0 software (SAS software Inc., Cary, NC, USA).",3,software,10,called software
PMC5111481_PS02,ppseguel,PMC5111481,"CareLink Personal  Therapy  Management  Software  for diabetes provides remote storage and retrospective analysis capabilities of data from the pump, sensor, and blood glucosemeter.10",2,software,10,Checked on google CareLink Personal software is a free web based program that collects information directly from your diabetes management system. It allows you to generate reports that can be used during your doctor’s visits and to monitor your own progress. https://www.medtronicdiabetes.com/products/carelink-personal-diabetes-software
PMC2731890_FJ18,jasleen29,PMC2731890,An important question is how to perceive PlatProm signals forming clusters near real and accurately recog- nized by PlatProm TSPs,5,software,10,"verified by google, pattern recognition software"
PMC3246293_JS28,jaskiratsingh23,PMC3246293,"The CARAT interface includes the ability
to create an exception, explaining how the data were not able to be
collected, if this is the case.",6,software,10,repetetive use
PMC4634622_TL01,tonyli0409,PMC4634622,"Bonferroni post-test via the SPSS for Windows software package (ver.
17, SPSS Inc., Chicago, IL, USA)",4,software,10,google
PMC5339831_SK02,shruthikrish,PMC5339831,Co-localization of two proteins in 300 cells was quantified using the software of Volocity (right panel).,6,software,9,says software
PMC3887290_HR01,henryrossiter,PMC3887290,The Frank Harrell RMS packages were used to identify a subgroupof predictors by backward elimination.,2,software,9,"It is an r package, pretty sure that counts as software"
PMC1635254_TZ04,realrichardparker,PMC1635254,PERLscripts usingBioPerllibraries  (21)  together  with  data  and  libraries  fromEnsemble(22),2,software,10,"Mentions data and libraries from Ensemble, also named Ensemble, similar to Ensembl from first practice, rat journal "
PMC3389425_SK01,shruthikrish,PMC3389425," All statistical analyses wereperformed using Statview 5.0 software (SAS Institute Inc., Cary,NC, USA).",3,software,10,says software
PMC4163634_BB02,brentbiglin,PMC4163634,"RNAsc, RNAstructure andSHAPEKNOTSsoftware[49–51] were used to predict the secondary RNA structureincluding SHAPE reactivity values.",13,software,10,says it's software
PMC4408226_CB20,courtneybroderick,PMC4408226,"Comparison of the developed consensus model with DERMWIN software showed that
our model significantly outperformed DERMWIN in predictivity (Q2
ext = 72% and 43%,
respectively) but at the expense of some lost in coverage (77% vs. 100%); when applied to
the same set of compounds as used for DERMWIN (ignoring the AD for our models) the
performance of our model is still higher (Q2
ext = 71% vs. 66%).",12,software,10,A third mention of DERMWIN in same sentence.
PMC1636350_CM19,anneclarisse,PMC1636350,"Additional  series  of  smaller  datasets  constructed  byMAFFT  authors  (11)  were  55  HOMSTRAD  (34)  structuralalignments  with  various  numbers  of  close  homologs  added(‘HOM+X’,  ‘X’  is  the  number  of  close  homologs  addedand  is  0,  20,  50  or  100).",4,software,10,Google search.
PMC3529531_MS03,mjsong1201,PMC3529531,"To  assess  the  interaction,  the  apical–basal  cell  length  of  both Taoeta + RNAi and RNAi only (or wild-type control) cells was measured at the  level  of  the  nuclei  using  the  confocal  microscope  (LSM  700)  software  or ImageJ (National Institutes of Health).",11,software,8,an open source image processing program
PMC3778302_FJ03,jasleen29,PMC3778302,"The data were analysed using SPSS version 17.0 software (Chicago, IL, USA).",4,software,10,verified
PMC3449286_EK02,evelynkue,PMC3449286,Raw data were reduced off-lineusing the LAMTRACE software,5,software,10,The authors state that it's software.
PMC5424272_HR05,henryrossiter,PMC5424272,MER consensus sequences forming palindromic sequences were  predicted  by  RNAfold  (http://rna.tbi.univie.ac.at/cgi-bin/RNAfold.cgi).,2,software,10,googled it
PMC5424272_HR03,henryrossiter,PMC5424272,"n  the  UCSC table  Browser,  MER  sequences  and  their  genomic  regions were  compared  using  RepeatMasker  3.3  (http://www.re-peatmasker.org). ",2,software,8,googled it
PMC3935166_MZ51,oceanwall,PMC3935166,"Asanadditionalsafetymeasure,“OnlineTED”doesnotpermituserstoidentifytheIPaddressofdevicesusedinapoll,thusassuringtheanonymityofpollparti-cipants.",5,software,10,website indicates that it's a web-based app
PMC4176174_JWC08,jackchristen,PMC4176174,"he dockings were firstly performed manu-ally and then rendered by Chimera, using a real time cor-relation criterion between the reference model (",3,software,7,looked it up
PMC3467590_SV02,vsanchana,PMC3467590,"GLMMwas implemented by PROC GLIMMIX in SAS and wasadjusted for race, and clinical diagnosis of hypertension ordepression.",3,software,9,Googled it and know the SAS name from beforehand
PMC2773253_TL83,tonyli0409,PMC2773253,"To date, PlayMOBY
handles more than 100 BioMOBY web services for providing
generic sequence analysis tools and ensuring the interoperability of
specialized databases",5,software,7,described previously as software tool
PMC3328383_HR02,henryrossiter,PMC3328383,Images were processed with Photoshop (Adobe) and aligned according to the FISH probe pattern using Illustrator software (Adobe),12,software,10,heard of both of these programs before
PMC5383462_MP01,meganpearson,PMC5383462,"The pupillary diameter was measured in both horizontal and vertical dimensions by an infrared pupillometer (Colvard® ,OASIS Medical Inc., CA, USA)and was read by only one investigator (SS)",3,hardware,7,I googled it.
PMC3730412_AN04,ankimnguyen,PMC3730412,"All cell culture treatments were performed in at least triplicate samples. GraphPad prism software (San Diego, CA, USA) was used for data analyses.",11,software,10,Stated in article.
PMC3425424_SK01,shruthikrish,PMC3425424," We performed all sta-tistical analyses with SPSS version 17.0 (SPSS, Chicago, IL).",2,software,9,has version number
PMC4666316_TZ03,realrichardparker,PMC4666316,Over 50% of those aged over 65 years use computers and related devices daily to access the internet to seek medical information and social support.22,3,software,3,Probably referencing some sort of software to interface with internet
PMC5054108_JWC37,jackchristen,PMC5054108,"onetheless, we achieved aspecificity of FragAnchor comparable to that of GPI-SOM and big-π.  ",5,software,8,context
PMC4295086_EK02,evelynkue,PMC4295086,Weused ArcGIS 10.1 to generate maps.,5,software,10,There is a version number associated with it.
PMC2773253_TL48,tonyli0409,PMC2773253,"Mobyle typing system describes program parameters using a typing
mechanism that aims to help users in such tasks. It modifies the
interface display, the controls for user values (the input parameters)",4,software,7,web based environment with tools
PMC1636350_CM118,anneclarisse,PMC1636350,"Our results show that MUMMALS based on probabilistic consistency can perform better than MAFFT, implying that consistency-based scoring function is superior to weighted sum-of-pairs measures of general substitution matrices.",8,software,10,Google
PMC4455856_TL06,tonyli0409,PMC4455856," The
regression analysis and cumulative incidence of LTFU or
death was conducted using Stata version 12.0.",3,software,10,past experience
PMC3365791_TZ02,realrichardparker,PMC3365791,Professionals perceived no increase in thevolume of patient queries or clinical consultations as a result of RecordAccess;,1,software,5,Record Access seems to refer to some type of software used to access health records
PMC4816756_MZ05,oceanwall,PMC4816756,"Raw Illumina gene expression data were processed using variancestabilization and quantile normalization with the lumi package (Duet al., 2008; Lin et al., 2008)inR(Team, 2014),filtered to include onlyprobes with detection call p valueb0.05 in at least seven of the arrays,followed by batch-removal using COMBAT (Johnson et al., 2007).",2,software,10,R is a well known software environment
PMC2447807_HR23,henryrossiter,PMC2447807,hepssRNAMiner lists the candidate clusters,1,software,9,"it it a web server, which requires software. However, they mighy be refering to the hardware component"
PMC3202792_MS01,mjsong1201,PMC3202792,The gener-ated data were processed using the GS FLX data analysis software v2.3.,10,software,10,data analysis software
PMC3769764_MS05,mjsong1201,PMC3769764,"PhylogeneticanalysiswasdonebytheNeighborJoiningmethodusingMEGA3.1,basedonsequencealignmentusingClustalW(1.81).",8,software,10,CLUSTAL W Multiple Sequence Alignment Program
PMC5220168_JS05,jcsick,PMC5220168,"A 1% peptide FDR threshold was considered. Peptide andprotein abundance changes were assessed using the iTRAQ reporterion intensities retrieved from MS/MS scans by QuiXoT software[30,31]as inputs to the WSPP model[32]",5,software,9,text specifies as software
PMC4832950_BB03,brentbiglin,PMC4832950,"Annexin binding buffer was added to each cell sample, and the cells were analyzed by flow cytometry (BD Influx, Becton Dickinson) using Cell Quest Research Software(Becton Dickinson).",3,software,10,it says it's software
PMC3890939_SK02,shruthikrish,PMC3890939,Diffraction patterns were collected by a MAR345detector and processed using the FIT2D software.,4,software,9,says software
PMC1636350_MS54,mjsong1201,PMC1636350,"Among the other programs tested (ProbCons, severaloptions of MAFFT, MUSCLE and ClustalW), MAFFT withoptions [lg]insi usually gives the best performance.",6,software,10,"ClustalW is a complex and reliable piece of software developed to provide genetics professionals with an effective method of performing multiple alignment tasks, also being able to create phylogenetic trees."
PMC2626671_JC01,jcsick,PMC2626671," Data analysis was performed with FlowJo software (Tree Star, Inc.); EL4 target cells (CD8-negative events) were gated, and the percentage of Annexin V + target cells was determined.",7,software,9,text specifies as software
PMC5054108_JWC29,jackchristen,PMC5054108,"n Table 3, we can see that FragAn-chor has a very high capacity",5,software,8,context
PMC3654430_JWC02,jackchristen,PMC3654430,The tree was visualized with the help of  Treeviewer 1.6.6 (http://taxonomy.zoology.gla.ac.uk/rod/treeview.html) and roote,4,software,7,looked it up
PMC5098543_AN01,ankimnguyen,PMC5098543,"The UPLC-ESI-MS analysis was carried out using an Wa- ters Acquity UPLC H-Class system operated with the Empow- er software (Milford, MA, USA) and AccuTOF® single-re ection time-of- ight mass spectrometer with an ESI operated using the Mass Center system version 1.3.7b (JEOL, Tokyo, Japan).",2,software,10,Stated in article.
PMC4816756_MZ15,oceanwall,PMC4816756,"Gene ontology enrichment analysis of the identifiedmodules and lists of differentially expressed genes was performed in Rusing GOstats (Falcon and Gentleman, 2007).",3,software,10,R is a well known software environment
PMC3734831_TZ05,realrichardparker,PMC3734831,The 500 most induced and 500 most repressed probe sets wereuploaded into the Connectivity Map (Cmap) v02 (http://www.broad.mit.edu/cmap).,13,software,10,going to the url provided gives information about the software
PMC4271550_MZ04,oceanwall,PMC4271550,"Statistical analysis for comparing differentially methyl-ated promoters between sample groups was carried out usingR/Bioconductor limma package on TMM-normalized and voom-transformed count values as suggested in the limma manual (19, 20).",3,software,10,R is a well known software environemnt
PMC5453893_MS01,mjsong1201,PMC5453893,"Statistical analyses were performed with SPSS software (ver. 19.0; IBM Corp., Armonk, NY, USA) and Prism (ver. 5.0; GraphPad Software, La Jolla, CA, USA).",3,software,10,it says software
PMC4816756_MZ18,oceanwall,PMC4816756,"Analysis was performed in R (Team, 2014).",3,software,10,R is a well known software environment
PMC3692048_HR01,henryrossiter,PMC3692048,DIANA-microT web server v5.0: service integrationinto miRNA functional analysis workflows,1,software,10,googled it. is a web app
PMC4886572_BB02,brentbiglin,PMC4886572,"Data  was  analyzed  using  SPSS  software,  version  21.",1,software,10,it says it's software
PMC3013778_MZ21,oceanwall,PMC3013778,(v) IslandViewer (database of genomicislands) (22),3,software,10,"googled name, confirmed its status from creator page. Even though it says in the article that it's a database, google analysis indicated that it was a software (the creator page had a ""software download"" page)"
PMC1636350_MS75,mjsong1201,PMC1636350,We  found  that  the  major  cause  of  lower  average  columnscore   of   MUMMALS   is   due   to   a   few   alignments   that MUMMALS  gives  considerably  lower  scores  as  comparedto MAFFT-linsi (10 alignments with a score difference largerthan  0.5).,7,software,10,"They have developed MUMMALS, a program to construct multiple protein sequence alignment using probabilistic consistency."
PMC1636350_CM44,anneclarisse,PMC1636350,"MUMMALS  was  compared  to  several  other  pro-grams,  such as ProbCons (23), MAFFT  (11),  MUSCLE  (10) and ClustalW (7).",5,software,10,Google search.
PMC3406768_TZ01,realrichardparker,PMC3406768,"Lengths of short axesof pollen grains (100–400) were microscopically measuredusing Image-Pro PLUS (Media Cybernetics Co., Ltd.,Bethesda, MD, USA).",3,software,10,Googling Image-Pro PLUS finds an image processing software
PMC3832812_MD01,mrcyndns,PMC3832812,StatisticalanalysiswasperformedusingSPSS11.0forWindowsandStudent’st-testandANOVAforrepeatedmeasuresconsideringvaluesofp<0.05tobesignificant.,3,software,9,SPSS is a common software and it has a version number
PMC4816756_MZ10,oceanwall,PMC4816756," For time courseanalysis, splines and limma packages in R were used tofit separatecurves in mutant males and females for each gene, and then the param-eters correspondingto the interaction of time and sex were evaluated to184L.F. Menezes et al. / EBioMedicine 5 (2016) 183–192
identify genes with different temporal profile.",2,software,10,limma is a software package for R
PMC4615214_HR01,henryrossiter,PMC4615214,"Moreover,computational simulation of theco-transcriptional folding trajec-tory using KINWALKERdoes pre-dict both the transient kinetictrap   and   the   cloverleafstructure.51",7,software,9,googled it. I think it is software but might just be an algorithm
