article_id,article_title
PMC3479700,Metaplastic Thymoma: Report of 4 Cases
PMC3544755,Immunomodulation by the Panton-Valentine leukocidin can benefit the host during Staphylococcus aureus infections
PMC3579875,Landes Highlights
PMC3719306,Standardized Infertility Treatments not only Ensure Maternal-Fetal Health but also Provide Higher Success Rates
PMC3741563,Fruit Body Formation on Silkworm by Cordyceps militaris
PMC3741593,The Effect of Nano-Silver Liquid against the White Rot of the Green Onion Caused by Sclerotium cepivorum
PMC3749363,Issues and Events
PMC3749458,Occurrence of Internal Stipe Necrosis of Cultivated Mushrooms (Agaricus bisporus) Caused by Ewingella americana in Korea
PMC3749802,Formulation and optimization of temozolomide nanoparticles by 3 factor 2 level factorial design
PMC3755257,Extracellular Enzyme Activities of the Monokaryotic Strains Generated from Basidiospores of Shiitake Mushroom
PMC3780496,Job satisfaction among chain community pharmacists: results from a pilot study
PMC3793542,Pelvic floor complaints in gastroenterology practice: results of a survey in the netherlands
PMC3821692,Life in Science: Richard Calendar
PMC3865386,Differences in research funding for women scientists: a systematic comparison of UK investments in global infectious disease research during 1997-2010
PMC3879235,Cleavage of transmembrane junction proteins and their role in regulating epithelial homeostasis
PMC3921707,An unusual foreign body in urethra: nail clippers
PMC3927753,Process-induced extracellular matrix alterations affect the mechanisms of soft tissue repair and regeneration
PMC3970613,Perimicrovillar membrane assembly: the fate of phospholipids synthesised by the midgut of Rhodnius prolixus
PMC4016806,Downregulation of ?-actin and its regulatory gene HuR affect cell migration of human corneal fibroblasts
PMC4062317,Evaluation of the Steelex M600H coagulometer prothrombin time-international normalized ratio assay with Steelex test reagents
PMC4075797,Radiation therapy in the treatment of unicentric Castleman's disease
PMC4091108,Herbivory by the insect Diaphorina citri induces greater change in citrus plant volatile profile than does infection by the bacterium, Candidatus Liberibacter asiaticus
PMC4130509,Pattern specificity of contrast adaptation
PMC4133065,Ultrastructural Study of Electron Dense Deposits in Renal Tubular Basement Membrane: Prevalence and Relationship to Epithelial Atrophy
PMC4198896,In this issue
PMC4216975,Editorial
PMC4353272,Pasteurella species peritoneal dialysis-associated peritonitis: Household pets as a risk factor
PMC4421312,Crescentic glomerulonephritis in a patient with advanced lung cancer during erlotinib therapy
PMC4421576,A neonate with severe oligo-anuric renal failure during multi-organ failure survived with prolonged renal replacement therapy
PMC4468621,A Survey of Severity and Distribution of Musculoskeletal Pain in Multiple Sclerosis Patients; a Cross-Sectional Study
PMC4531573,Correlations Among Gastric Juice pH and Ammonia, Helicobacter Pylori Infection and Gastric Mucosal Histology
PMC4531628,Changes of Plasma Interleukin-1 Receptor Antagonist, Interleukin-8 and other Serologic Markers during Chemotherapy in Patients with Active Pulmonary Tuberculosis
PMC4569313,Positive and negative regulation by SLP-76/ADAP and Pyk2 of chemokine-stimulated T-lymphocyte adhesion mediated by integrin ?4?1
PMC4596447,High Aggressive Herpetiform Squamous Cell Carcinoma
PMC4687766,Trouble with ataxia: A longitudinal qualitative study of the diagnosis and medical management of a group of rare, progressive neurological conditions
PMC4701115,Juxtaphyseal Intraosseous Hemangioma of Proximal Femur causing Coxa vara and Coxa breva deformity in a growing child
PMC4718351,Conley Scale: assessment of a fall risk prevention tool in a General Hospital
PMC4724760,Improving medication adherence among kidney transplant recipients: Findings from other industries, patient engagement, and behavioral economics - A scoping review
PMC4738122,Erratum: Scar Revision Surgery: The Patient's Perspective
PMC4774641,ACKNOWLEDGEMENTS TO THE REVIEWERS
PMC4784605,Using the Mercy Method for Weight Estimation in Indian Children
PMC4799210,TRIBUTE - THE MAN WHO CHANGED THE FACE OF ORTHOPEDICS
PMC4804676,Improving the Rate of Sufficient Sweat Collected in Infants Referred for Sweat Testing in Michigan
PMC4857323,Transumbilical glove port: A cost-effective method for single-incision laparoscopic hepatectomy
PMC4898072,Biatrial Drainage of a Right-Sided Superior Vena Cava
PMC4900401,Large aortic root hematoma mimicking left atrial mass in a cardiac postoperative patient
PMC4963544,Mechanical intervention for reducing dust concentration in traditional rice mills
PMC4963800,Magnetic resonance venography to assess thrombus resolution with edoxaban monotherapy versus parenteral anticoagulation/warfarin for symptomatic deep vein thrombosis: A multicenter feasibility study
PMC5025267,Discovery of keratin function and role in genetic diseases: the year that 1991 was
PMC5077509,New Developments in Industrial Leadership
PMC5077881,The Health Services, Some of Their Practical Problems
PMC5078256,Mental Health and World Citizenship
PMC5079219,Brain control of body temperature: Central command vs feedback
PMC5083498,Memo for Employers and Guide to Job Placement of the Mentally Retarded
PMC5083520,Narcotic Addiction in Britain and America
PMC5085425,Research and Enquiry
PMC5105400,The Adrenal Cortex and Intersexuality
PMC5107630,Erratum: Current Pathological and Laboratory Considerations in the Diagnosis of Disseminated Intravascular Coagulation
PMC5115524,Contents: (Adv. Sci. 11/2016)
PMC5122049,Education of Girls, Connected with Growth and Physical Development
PMC5122123,Lunacy in England
PMC5132146,Effect of human mesenchymal stem cell transplantation on cerebral ischemic volume-controlled photothrombotic mouse model
PMC5138868,Abnormal Children
PMC5147108,Abstract: Topical Application of Nitrosonifedipine, a Novel Free Radical Scavenger, Ameliorate the Ischemic Skin Flap Necrosis
PMC5147266,Abstract: ""I Can't Believe You're Back:"" Expanded 30-day Readmissions After Plastic Surgery
PMC5147363,Abstract: Pre-Operative Polysomnography Before Cleft Palate Repair - Is it Indicated in Severe Robin Sequence?
PMC5217890,Issue Information
PMC5302073,Sleep Deprivation Impairs and Caffeine Enhances My Performance, but Not Always Our Performance
PMC5318576,Do failures in non-technical skills contribute to fatal medical accidents in Japan? A review of the 2010-2013 national accident reports
PMC5364206,Lupus Enteritis and Cystitis
PMC5409206,Expression of Ion Channels in Perivascular Stem Cells derived from Human Umbilical Cords
PMC5453654,Medical education
