article,article_set,coder,no_selections_found,codable,standard_article
10.1002%2Fsoej.12199,econ_article,evelynkue,TRUE,TRUE,FALSE
10.1002%2Fsoej.12242,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fsoej.12244,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1002%2Fsoej.12245,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fsoej.12245,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1002%2Fsoej.12249,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fbf00123793,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fbf00138259,econ_article,henryrossiter,FALSE,TRUE,FALSE
10.1007%2Fbf00163432,econ_article,henryrossiter,FALSE,TRUE,TRUE
10.1007%2Fbf00996712,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fbf01047811,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fbf01263639,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fbf02209677,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fbf02295030,econ_article,slungu99,TRUE,TRUE,TRUE
10.1007%2Fbf02319875,econ_article,mrcyndns,TRUE,TRUE,FALSE
10.1007%2Fbf02380339,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fbf02708591,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fbf02708825,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fbf02873950,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fbf02928603,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fbf02929347,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs00148-009-0252-9,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00148-009-0287-y,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs00148-011-0355-y,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs00148-015-0566-8,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs00148-016-0624-x,econ_article,jackchristen,FALSE,TRUE,TRUE
10.1007%2Fs00148-017-0664-x,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs00181-008-0224-z,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00181-009-0272-z,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs00181-010-0425-0,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs00181-011-0450-7,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00181-011-0507-7,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs00181-012-0549-5,econ_article,tonyli0409,FALSE,FALSE,FALSE
10.1007%2Fs00181-015-0989-9,econ_article,monicacho92,TRUE,TRUE,TRUE
10.1007%2Fs00181-015-1016-x,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs00181-016-1066-8,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs00181-016-1075-7,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00181-016-1097-1,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs00181-016-1169-2,econ_article,evelynkue,FALSE,TRUE,TRUE
10.1007%2Fs00181-016-1175-4,econ_article,mjsong1201,TRUE,TRUE,TRUE
10.1007%2Fs00181-016-1181-6,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00181-016-1225-y,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00181-016-1226-x,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs00181-017-1228-3,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00181-017-1239-0,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00181-017-1252-3,econ_article,slungu99,TRUE,TRUE,TRUE
10.1007%2Fs00181-017-1304-8,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00191-007-0057-5,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00191-007-0065-5,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00191-007-0082-4,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs00191-008-0091-y,econ_article,mjsong1201,TRUE,TRUE,TRUE
10.1007%2Fs00191-008-0107-7,econ_article,mrcyndns,TRUE,TRUE,TRUE
10.1007%2Fs00191-008-0107-7,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00191-008-0122-8,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs00191-008-0123-7,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs00191-010-0188-y,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs00191-010-0214-0,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs00191-011-0230-8,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs00191-011-0243-3,econ_article,mjsong1201,FALSE,TRUE,TRUE
10.1007%2Fs00191-011-0249-x,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs00191-013-0309-5,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs00191-013-0322-8,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs00191-015-0411-y,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs00191-015-0435-3,econ_article,mjsong1201,TRUE,TRUE,TRUE
10.1007%2Fs00191-016-0478-0,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs00191-017-0493-9,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00191-017-0495-7,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs00191-017-0511-y,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00191-017-0533-5,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs00191-017-0533-5,econ_article,mrcyndns,FALSE,TRUE,FALSE
10.1007%2Fs00191-017-0548-y,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs00191-018-0558-4,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs00712-007-0259-1,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00712-008-0041-z,econ_article,oceanwall,TRUE,TRUE,TRUE
10.1007%2Fs00712-009-0106-7,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00712-010-0173-9,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00712-012-0313-5,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs00712-013-0356-2,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs00712-016-0471-y,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs00712-017-0557-1,econ_article,jackchristen,TRUE,TRUE,TRUE
10.1007%2Fs10037-017-0116-9,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10101-010-0073-z,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10101-010-0073-z,econ_article,slungu99,TRUE,TRUE,TRUE
10.1007%2Fs10101-012-0113-y,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10101-015-0159-8,econ_article,jackchristen,TRUE,TRUE,FALSE
10.1007%2Fs10258-006-0015-4,econ_article,jackchristen,TRUE,TRUE,TRUE
10.1007%2Fs10258-009-0041-0,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10258-009-0052-x,econ_article,henryrossiter,TRUE,TRUE,FALSE
10.1007%2Fs10258-010-0055-7,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10258-011-0073-0,econ_article,slungu99,TRUE,TRUE,FALSE
10.1007%2Fs10258-013-0091-1,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10272-011-0394-3,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10272-012-0421-z,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10272-012-0427-6,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10272-014-0494-y,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10272-014-0499-6,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10272-015-0540-4,econ_article,jackchristen,TRUE,TRUE,FALSE
10.1007%2Fs10272-016-0564-4,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10272-016-0586-y,econ_article,jackchristen,TRUE,TRUE,FALSE
10.1007%2Fs10272-016-0613-z,econ_article,jackchristen,TRUE,TRUE,TRUE
10.1007%2Fs10272-017-0634-2,econ_article,slungu99,TRUE,TRUE,TRUE
10.1007%2Fs10272-017-0646-y,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs10272-017-0673-8,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10272-017-0697-0,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10272-017-0698-z,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10272-018-0708-9,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10272-018-0713-z,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs10272-018-0713-z,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10273-014-1757-8,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10273-016-2063-4,econ_article,caifand,TRUE,NA,NA
10.1007%2Fs10290-009-0018-1,econ_article,henryrossiter,TRUE,TRUE,TRUE
10.1007%2Fs10290-009-0039-9,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10290-010-0060-z,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10290-010-0076-4,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE
10.1007%2Fs10368-009-0124-5,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10368-009-0134-3,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10368-010-0157-9,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10368-014-0282-y,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10368-014-0288-5,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10368-017-0385-3,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10368-017-0386-2,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10368-017-0390-6,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10368-017-0392-4,econ_article,courtneybroderick,TRUE,NA,NA
10.1007%2Fs10368-017-0397-z,econ_article,mjsong1201,TRUE,TRUE,TRUE
10.1007%2Fs10368-017-0398-y,econ_article,jackchristen,FALSE,TRUE,TRUE
10.1007%2Fs10368-017-0398-y,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10602-009-9076-6,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs10602-013-9148-5,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10602-016-9205-y,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10614-008-9147-1,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10614-011-9257-z,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10614-014-9465-4,econ_article,ankimnguyen,FALSE,TRUE,TRUE
10.1007%2Fs10614-014-9465-4,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10614-015-9495-6,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10614-015-9495-6,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10614-017-9657-9,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10614-017-9678-4,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10614-017-9706-4,econ_article,mjsong1201,FALSE,TRUE,TRUE
10.1007%2Fs10614-017-9707-3,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10644-016-9189-7,econ_article,mjsong1201,TRUE,TRUE,TRUE
10.1007%2Fs10644-016-9193-y,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10644-017-9213-6,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10644-017-9213-6,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10645-006-9025-y,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10645-006-9039-5,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10645-006-9050-x,econ_article,mjsong1201,TRUE,TRUE,TRUE
10.1007%2Fs10645-007-9055-0,econ_article,jackchristen,TRUE,TRUE,TRUE
10.1007%2Fs10645-007-9056-z,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-007-9062-1,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-007-9064-z,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-007-9073-y,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10645-007-9075-9,econ_article,mrcyndns,TRUE,TRUE,FALSE
10.1007%2Fs10645-007-9075-9,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10645-007-9081-y,econ_article,caifand,TRUE,TRUE,NA
10.1007%2Fs10645-007-9084-8,econ_article,jackchristen,TRUE,TRUE,FALSE
10.1007%2Fs10645-008-9087-0,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-009-9110-0,econ_article,slungu99,TRUE,TRUE,TRUE
10.1007%2Fs10645-009-9110-0,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-009-9113-x,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-009-9117-6,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-009-9119-4,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-009-9132-7,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10645-010-9140-7,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10645-010-9150-5,econ_article,monicacho92,TRUE,TRUE,TRUE
10.1007%2Fs10645-011-9158-5,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10645-011-9168-3,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-011-9170-9,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-012-9186-9,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10645-012-9191-z,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10645-014-9225-9,econ_article,henryrossiter,TRUE,TRUE,FALSE
10.1007%2Fs10645-016-9284-1,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10645-017-9290-y,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-017-9302-y,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10645-017-9305-8,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10645-017-9311-x,econ_article,jackchristen,TRUE,TRUE,TRUE
10.1007%2Fs10657-008-9062-x,econ_article,evelynkue,TRUE,TRUE,FALSE
10.1007%2Fs10657-008-9078-2,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10657-009-9110-1,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10657-009-9139-1,econ_article,caifand,TRUE,TRUE,TRUE
10.1007%2Fs10657-010-9192-9,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10657-011-9219-x,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10657-011-9220-4,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10657-011-9224-0,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10657-011-9259-2,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10657-011-9259-2,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10657-011-9276-1,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10657-011-9286-z,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10657-011-9288-x,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs10657-012-9302-y,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10657-012-9304-9,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10657-012-9311-x,econ_article,slungu99,TRUE,TRUE,FALSE
10.1007%2Fs10657-012-9318-3,econ_article,slungu99,TRUE,TRUE,FALSE
10.1007%2Fs10657-012-9319-2,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs10657-012-9324-5,econ_article,monicacho92,FALSE,TRUE,NA
10.1007%2Fs10657-012-9337-0,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10657-012-9343-2,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10657-013-9422-z,econ_article,jackchristen,TRUE,TRUE,TRUE
10.1007%2Fs10657-014-9443-2,econ_article,evelynkue,TRUE,TRUE,FALSE
10.1007%2Fs10657-014-9461-0,econ_article,caifand,TRUE,TRUE,FALSE
10.1007%2Fs10663-010-9132-5,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10663-010-9148-x,econ_article,jackchristen,TRUE,TRUE,FALSE
10.1007%2Fs10663-010-9155-y,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10663-012-9184-9,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10663-012-9185-8,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10663-012-9195-6,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10663-014-9256-0,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10663-015-9287-1,econ_article,jackchristen,FALSE,TRUE,TRUE
10.1007%2Fs10663-016-9323-9,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10683-009-9232-x,econ_article,slungu99,FALSE,TRUE,TRUE
10.1007%2Fs10683-011-9306-4,econ_article,slungu99,FALSE,TRUE,TRUE
10.1007%2Fs10683-013-9383-7,econ_article,slungu99,TRUE,TRUE,TRUE
10.1007%2Fs10683-014-9414-z,econ_article,monicacho92,TRUE,TRUE,FALSE
10.1007%2Fs10683-015-9441-4,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10683-016-9506-z,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10683-017-9515-6,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10683-017-9534-3,econ_article,ambermomin,TRUE,TRUE,NA
10.1007%2Fs10683-017-9536-1,econ_article,mjsong1201,TRUE,TRUE,TRUE
10.1007%2Fs10683-017-9546-z,econ_article,jackchristen,FALSE,TRUE,TRUE
10.1007%2Fs10683-017-9548-x,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10797-007-9035-y,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10797-007-9046-8,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10797-007-9048-6,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10797-007-9053-9,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10797-008-9084-x,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10797-008-9087-7,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10797-009-9123-2,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10797-012-9229-9,econ_article,henryrossiter,TRUE,TRUE,TRUE
10.1007%2Fs10797-014-9328-x,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10797-018-9484-5,econ_article,mjsong1201,FALSE,TRUE,TRUE
10.1007%2Fs10818-008-9036-7,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10818-008-9043-8,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10818-008-9047-4,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1007%2Fs10818-009-9054-0,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10818-011-9119-8,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10818-014-9177-9,econ_article,mjsong1201,TRUE,TRUE,FALSE
10.1007%2Fs10818-017-9252-0,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10818-017-9257-8,econ_article,slungu99,TRUE,NA,NA
10.1007%2Fs10818-017-9268-5,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10824-008-9076-9,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10824-011-9136-4,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10824-012-9160-z,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10824-012-9160-z,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1007%2Fs10824-014-9234-1,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10824-015-9248-3,econ_article,ankimnguyen,FALSE,TRUE,TRUE
10.1007%2Fs10824-015-9263-4,econ_article,evelynkue,TRUE,TRUE,TRUE
10.1007%2Fs10824-015-9264-3,econ_article,jackchristen,TRUE,TRUE,TRUE
10.1007%2Fs10824-016-9270-0,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10824-016-9270-0,econ_article,mrcyndns,TRUE,TRUE,TRUE
10.1007%2Fs10824-016-9283-8,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10824-016-9288-3,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10824-017-9293-1,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10824-017-9302-4,econ_article,oceanwall,FALSE,TRUE,TRUE
10.1007%2Fs10824-017-9303-3,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1007%2Fs10824-017-9307-z,econ_article,courtneybroderick,TRUE,NA,NA
10.1007%2Fs10842-011-0105-6,econ_article,mprabhudesai,FALSE,TRUE,TRUE
10.1007%2Fs10842-011-0108-3,econ_article,mjsong1201,TRUE,TRUE,TRUE
10.1007%2Fs10842-011-0123-4,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10842-014-0187-z,econ_article,tonyli0409,FALSE,TRUE,FALSE
10.1007%2Fs10842-014-0191-3,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10842-014-0192-2,econ_article,slungu99,FALSE,TRUE,TRUE
10.1007%2Fs10842-016-0242-z,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1007%2Fs10842-016-0243-y,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1007%2Fs10842-017-0246-3,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1007%2Fs10887-014-9108-6,econ_article,tonyli0409,TRUE,TRUE,TRUE
